7, CASA – TELECONSEILLERS FRANCOPHONES EN RECEPTION D'APPELS – PRIMES DEPLAFONNEES,Centres d'appels, Casablanca ,20 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFILS RECHERCHES * BAC et plus toutes branches * Maîtrise parfaite de la langue française à l'oral comme à l'écrit, * Maîtrise des outils informatiques, * Fibre commerciale Nous vous offrons - Horaires de travail : entre 8H et 20H. deuxième jour au cours de la semaine. - Salaire net + Primes mensuelles déplafonnées. - Formation gratuite, rémunérée et assurée par des formateurs de haut niveau. - Couverture sociale intégrale CNSS, mutuelle privée - Plan de carrière, évolution en interne rapide. - Transport assuré. Si vous avez un vrai sens du service et si vous êtes animés par le goût du travail en équipe, contactez-nous et offrez-vous une vie professionnelle épanouissante. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.","Après une formation de qualité et rémunérée par le Centre, Votre mission consiste à renseigner les clients sur les nouvelles offres proposées et à les accompagner sur les demandes à caractères techniques en l'occurrence les paramétrages multimédias. Le traitement est segmenté en deux opérations: EN RECEPTION D'appels et en MAILING Pour ce poste, nous exigeons une aisance en communication orale avec une bonne qualité rédactionnelle.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
8, CASA - CONSEILLERS FRANCOPHONES EN ASSURANCES - RÉCEPTION D'APPELS,Centres d'appels, Casablanca ,20 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe + Primes mensuelles déplafonnées. - CNSS + Mutuelle privée. - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H du lundi au samedi / 2 jours off par semaine. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.",Nous recrutons des chargés de clientèle en réception d’appel avec rebond commercial. Votre rôle consiste à : Prendre en charge les demandes d’information ou de renseignements ; Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable ;,Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
9, MARRAKECH - CHARGES DE CLIENTÈLE EN LANGUE ALLEMANDE - RECEPTION D'APPELS,Centres d'appels, Marrakech ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
10, Casa - Conseiller Client Francophone Service Après-Vente Automobile,Centres d'appels, Casablanca ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFIL RECHERCHE Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net de 4500dhs + primes de production * Horaires 8H-18H ou 9H-19H + week-end off, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. WhatsApp 06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client D’UN GROUPE AUTOMOBILE INTERNATIONAL, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
11, CASA - ASSURANCE FRANCOPHONE EN RECEPTION D'APPELS: GESTION DES DOSSIERS DE SINISTRES,Centres d'appels, Casablanca ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe + Primes mensuelles déplafonnées. - CNSS + Mutuelle privée. - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H du lundi au samedi / 2 jours off par semaine. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à recrutement@jobdeveloppement.net Tél. 06 68 74 22 84. ",Nous recrutons des chargés de clientèle en réception d’appel avec rebond commercial. Votre rôle consiste à : Prendre en charge les demandes d’information ou de renseignements ; Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable ;,Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
12, CASA - RÉCEPTION D'APPELS FRANCOPHONES - SERVICE CLIENT MOBILE A CASANEARSHORE,Centres d'appels, Casablanca ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFIL RECHERCHE Français excellent, BAC toutes branches et plus, Mâtures et sérieux, avec de bonnes connaissances en téléphonie mobile, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net de 4500,00 DHS + primes mensuelles, * CNSS + Mutuelle privée + CIMR - Transport assuré, * Heures supplémentaires rémunérées, * Tickets restauration, * Formation initiale rémunérée à 100% . * Challenges internes avec des lots à gagner, * Transport assuré, Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients.Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
13, MARRAKECH - CHARGES DE CLIENTELE GERMANOPHONE EN RECEPTION D'APPELS,Centres d'appels, Marrakech ,23 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
14, CASABLANCA - 4500 DHS + PRIMES - ASSURANCE FRANCOPHONE EN RÉCEPTION D'APPELS,Centres d'appels, Casablanca ,23 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe + Primes mensuelles déplafonnées. - CNSS + Mutuelle privée. - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H du lundi au samedi / 2 jours off par semaine. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à recrutement@jobdeveloppement.net Tél. 06 68 74 22 84. ",Nous recrutons des chargés de clientèle en réception d’appel avec rebond commercial. Votre rôle consiste à : Prendre en charge les demandes d’information ou de renseignements ; Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable ;,Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
15, CASABLANCA - RÉCEPTION D'APPEL PARFAITEMENT FRANCOPHONE- SERVICE CLIENT,Centres d'appels, Casablanca ,23 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché pour le poste : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Bonne maîtrise d'outils informatiques, Motivé par un plan de carrière vous, évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * transport assuré, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, Horaires entre 8H/20H, 2 jours off par semaine. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. ","Nous recrutons des chargés de clientèle francophone en réception d’appels pour différentes activités, afin de conseiller, assister et apporter des solutions aux clients. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
16, EXPERT EN ASSURANCES RC DÉCENNALE / MRP / RC PRO Primes allant jusqu’à 30.000DH,BTP / Construction / Génie civil / Centres d'appels, Rabat / Salé / Kenitra / Temara / Mohammedia ,23 heures avant,Société: CELYINS Assurances , CDI / CDD / Free Lance ,"- Un contrat CDI avec Salaire de 6000dh à 7000DH + Primes déplafonnées pouvant aller jusqu’à 30.000DH (Pourcentage sur le Chiffre d’affaire réalisé) - CNSS Dès le 1er jour de production - Une bonne couverture sociale ( Mutuelle complémentaire santé à partir du 6éme mois) - Formation continue assurée - Fort potentiel d'évolution en interne Envoyez vos demande de candidature accompagnée de votre CV à jours, Type d'emploi : Temps plein, CDI ","–EXPERT en assurance DECENNALE / DO / MRP / RC PRO , avec une expérience commerciale réussie de deux ans minimum. –La commercialisation de contrats d’assurances IARD pour des clients entreprises en France. –Comparer, conseiller et orienter les clients vers la solution la plus adaptée à leurs besoins. –Respecter la politique de diversification des offres en fonction des attentes des clients. –Négocier et suivre les ventes jusqu’à la réception des contrats. –Garantir la qualité de la prestation à son plus haut niveau.","Courtier Spécialisé en risques professionnels, CELYINS Assurances, Succursale d'un grand groupe d'assurance français, recrute des conseiller(ère)s Expert(e)s en Assurance RC décennale, Dommage Ouvrage, MRP et RC Pro – Vous êtes EXPERT en assurance Constrcution ou RC Pro, avec une expérience commerciale réussie de deux ans au minimum; – vous avez une très bonne maîtrise de la langue Française; – Vous êtes reconnu(e) pour votre bon sens relationnel; – Vous avez l’esprit du challenge Ce poste est fait pour vous. N’attendez plus postulez dès maintenant.", CDI / CDD / Free Lance , Banque / Assurance / BTP / Extraction / Métiers des centres d'appels / RH / Recrutement / Formation , Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) , BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus , Français 
,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
17, Consultant.e Business developpeur en Assurances à Mohammedia :,Centres d'appels, Casablanca ,23 heures avant,Société: HNBC GROUPE SUCCURSALE , CDI ,"Poste à occuper Recrutement! Nous sommes à la recherche d'un(e) commercial(e) talentueux(se) en assurance pour rejoindre notre équipe. Avantages : CDI avec des horaires du Lundi au Vendredi de 9:00 à 18:30 et des weekends off Jours de l'Aid inclus Mutuelle, Chèques cadeaux et primes pour les fêtes de l'Aïd Fittre et Adha Salaires : Salaire à partir de 6 000 Dhs, pouvant aller jusqu'à x 3 par mois en fonction de l'expérience passée et du CA réalisé. Poste à occuper Recrutement! Nous sommes à la recherche d'un(e) commercial(e) talentueux(se) en assurance pour rejoindre notre équipe. Avantages : CDI avec des horaires du Lundi au Vendredi de 9:00 à 18:30 et des weekends off Jours de l'Aid inclus Mutuelle, Chèques cadeaux et primes pour les fêtes de l'Aïd Fittre et Adha Salaires : Salaire à partir de 6 000 Dhs, pouvant aller jusqu'à x 3 par mois en fonction de l'expérience passée et du CA réalisé. Poste à occuper Recrutement! Nous sommes à la recherche d'un(e) commercial(e) talentueux(se) en assurance pour rejoindre notre équipe. Avantages : CDI avec des horaires du Lundi au Vendredi de 9:00 à 18:30 et des weekends off Jours de l'Aid inclus Mutuelle, Chèques cadeaux et primes pour les fêtes de l'Aïd Fittre et Adha Salaires : Salaire à partir de 6 000 Dhs, pouvant aller jusqu'à x 3 par mois en fonction de l'expérience passée et du CA réalisé.",Profil recherché ⭐ Tu es la personne idéale si… Tu es prêt(e) à te surpasser pour conquérir de nouveaux clients Tu maîtrises les outils digitaux aisément Tes maîtres mots sont : la rigueur et l'autonomie Tu te reconnais dans ces phrases et tu souhaites faire partie de cette belle aventure ? Alors envoie-nous ton CV ! Exigences linguistiques flexibles : Excellent Français requis,"HNBC est un groupe de courtage spécialisé en assurances de personnes : Complémentaire santé - Prévoyance - Retraite - Obsèques, son rôle est de sélectionner pour ses clients la solution la mieux adaptée en comparant plusieurs sociétés d'assurances, Hnbc Assurances travaille en partenariat avec des enseignes prestigieuses, afin de répondre aux exigences de nos clients.", CDI , Banque / Assurance / Conseil / Consulting / Santé / Professions médicales / Télécoms / Réseaux , Débutant (de 1 à 3 ans) ,non spécifié, Français 
18," TÉLÉCONSEILLER.E – COMMERCIAL.E - SPÉCIALISTES ( ASSURANCES, ENERGIES RENOUVELABLES, TÉLÉPHONIE MOBILE …) MOHAMEDIA",Centres d'appels / Conseil / Consulting / Santé / Télécommunications, Casablanca ,23 heures avant,Société: ASSURISMO GROUP , CDI ,Profil recherché : Ton rôle si tu l’acceptes Tu trouveras les meilleures portes d’entrée pour avoir des rendez-vous. Tu créeras ton riche portefeuille clients. Tu feras un réel travail d’investigation pour trouver les bonnes informations commerciales. Tu es la personne idéale si… ⭐ Tu es prêt(e) à te surpasser pour conquérir de nouveaux clients. Tu maitrises les outils digitaux aisément. Tes maitres mots sont : la rigueur et l’autonomie. Tu te reconnais dans ces phrases et tu souhaites faire partie de cette belle aventure ? Alors envoie-nous ton CV !+--,Tu es la personne idéale si… ⭐ Tu es prêt(e) à te surpasser pour conquérir de nouveaux clients. Tu maitrises les outils digitaux aisément. Tes maitres mots sont : la rigueur et l’autonomie. Tu te reconnais dans ces phrases et tu souhaites faire partie de cette belle aventure ? Alors envoie-nous ton CV !+--,"Courtier spécialisé en assurances de personnes depuis plus de 15 ans, Nous sommes bien plus qu’un espace de travail. Nous sommes votre prochaine TEAM. Vous recherchez un emploi qui vous passionne et vous apporte une réelle satisfaction professionnelle ? Vous êtes au bon endroit ! Nous mettons tout en œuvre pour vous faciliter la recherche d'emploi et vous offrir un environnement de travail qui vous comblera. Découvrez dès maintenant les offres d'emploi qui pourraient changer votre vie professionnelle avec nous."" Exerçant dans les assurances de personnes, notre rôle est de sélectionner pour nos clients la solution la mieux adaptée en comparant les offres de sociétés d'assurances les plus prestigieuses en Europe. Notre société familiale s'est implantée au maroc en succursale afin de défendre et servir les intérêts de nos clients et apporter le meilleur de l’assurance : c’est ainsi que, chez ASSURISMO Group, nous définissons notre métier.", CDI , Banque / Assurance / Conseil / Consulting / Santé / Professions médicales , Débutant (de 1 à 3 ans) ,non spécifié, Français 
