0, MARRAKECH - CHARGES DE CLIENTÈLE EN LANGUE ALLEMANDE - RECEPTION D'APPELS,Centres d'appels, Marrakech ,6 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387 ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
11, CASABLANCA - TÉLÉCONSEILLERS FRANCOPHONES POUR SERVICE CLIENT A SIDI MAAROUF,Centres d'appels, Casablanca ,10 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché pour le poste : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, avec de bonnes connaissances en téléphonie mobile, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Horaires entre 8H/20H, 2 jours off par semaine. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
12, Declarant en douane,Franchise, Casablanca ,11 heures avant,Société: MH Group , CDI ,Declarant en douane experimenté dans les declarations d'imports et mise à la consomation,Declarant en douane,Societe d'imports recherche un declarant en douane experimenté pour realiser les operations de dedouanement de la societé., CDI , Commerce / Distribution / Vente / Import-export , Confirmé (de 7 à 10 ans) , BAC+2 , Français 
13, Commerciaux experts en mutuelle santé sénior,Centres d'appels, Casablanca ,11 heures avant,Société: ENSURE Call , CDI ,"Vous avez une expérience probante dans la télévente de produits d'assurance santé. Nous recherchons des profils sérieux et dynamiques, en maîtrise de l'environnement assurance en France capables de transformer des leads en contrats","Nous recherchons des commerciaux experts en mutuelle santé et avec un Français parfait. Nous vous proposons un salaire fixe plus variable sur objectif Contrat CDI , CNSS et d'autres avantages sociaux. ALERTE : - Salaire fixe supérieure au marché actuel pour les vrais experts métier",Cabinet de courtage d'assurances délocalisé au Maroc est à la recherche de commerciaux expérimentés dans la vente de produits d'assurance santé. Notre cabinet à déjà une solide expérience du management des ressources au Maroc. Votre mission est de proposer à des prospects français (leads) des couvertures santé et les faire souscrire à l'une de nos offres., CDI , Banque / Assurance , Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) , BAC+3 / BAC+4 / BAC+5 et plus , Français 
14, Cadres commerciaux sédentaires B2B Junior,Informatique / Internet / Multimedia, Casablanca ,12 heures avant,Société: ITFACTO , CDI ,"- Un bac+3 au minimum (en commerce, en marketing, en finance, en IT, etc.) - Une maîtrise du français à l’oral, comme à l’écrit - Une fibre commerciale - Une expérience en prospection téléphonique B2B (idéalement) - Une disponibilité immédiate","Missions du poste : prospection téléphonique, détection des besoins et qualification de projets Salaire : 7000 Dhs/mois, évolutif à 8000 Dhs après confirmation par les managers et pouvant dépasser 10 000 Dhs/mois, si objectifs atteints.",Nous sommes une société française basée au Maroc. Nous recrutons des jeunes commerciaux sédentaires B2B (avec ou sans expérience)., CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) , BAC+3 / BAC+4 / BAC+5 et plus , Français 
15, OFFRE D'EMPLOI D'UN AGENT COMMERCIAL ET DE RÉSERVATION,non spécifié, Fes / Rabat / Casablanca / Berrechid / Nouaceur / Marrakech ,12 heures avant,Société: SIXT FRANCE CAR , CDI ,Vous avez idéalement une formation / expérience réussie dans le conseil client ou le tourisme Vous êtes souriant et avez une présentation irréprochable Vous avez un excellent relationnel et vous aimez travailler en équipe Vous êtes organisé et consciencieux(se) Vous avez une grande capacité d’adaptation et de prise de décision Anglais courant et Permis B indispensables Disponible les weekends et jours fériés,"Vos missions : Dans le but de proposer une expérience client exceptionnelle vous serez amenés à: Accueillir et renseigner les clients sur nos offres Proposer une solution adaptée à chaque client Vendre des produits et services additionnels (accessoires, assurances...) Vérifier l’état du véhicule avec le client au départ et au retour. Assurer le suivi administratif et logistique de l’agence.","Sixt Location de voitures est le loueur de voitures ""en vogue"" au Maroc et à l'international. Fortement orientés vers la satisfaction du client, nous offrons un service de qualité construit autour d'une flotte ""dernier cri"" particulièrement attractive et moderne. Proposant des solutions de mobilité innovantes alliant plaisir et prix attactifs, Sixt est présent dans plus de 100 pays à travers le Monde.", CDI ,non spécifié, Junior (de 3 à 5 ans) , BAC+2 / BAC+3 , Français / Anglais 
16, CASABLANCA - 4500 DHS + PRIMES - ASSURANCE FRANCOPHONE EN RÉCEPTION D'APPELS,Centres d'appels, Casablanca ,1 jour avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe de 4500DHS + Primes mensuelles. - CNSS + Mutuelle privée - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H. Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.","Nous recrutons des chargés de clientèle en réception d’appel et back-office pour le leader français du courtage en assurance-santé sur internet. Votre rôle consiste à : -Prendre en charge les appels des clients et les guider en fonction de leurs demandes. -Répondre aux questions des clients, et les renseigner sur les offres promotionnelles de votre assurance. -Informer les clients sur le suivi de leurs dossiers et la procédure à suivre. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
17, CASA - RÉCEPTION D'APPELS FRANCOPHONES - SERVICE CLIENT MOBILE A CASANEARSHORE,Centres d'appels, Casablanca ,1 jour avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFIL RECHERCHE Français excellent, BAC toutes branches et plus, Mâtures et sérieux, avec de bonnes connaissances en téléphonie mobile, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net de 4500,00 DHS + primes mensuelles, * CNSS + Mutuelle privée + CIMR - Transport assuré, * Heures supplémentaires rémunérées, * Tickets restauration, * Formation initiale rémunérée à 100% . * Challenges internes avec des lots à gagner, * Transport assuré, Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84.","Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
18, MARRAKECH - TELECONSEILLERS BILINGUES FRANCO-ANGLOPHONES EN RECEPTION D'APPELS 5500DHS + PRIMES,Centres d'appels, Marrakech ,1 jour avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite des deux langues : anglais + français. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + prime de langue + prime production. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez-nous votre CV : recrutement@jobdeveloppement.net Tél. 0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients sur Marrakech, recrute pour le compte d’un de ses partenaires des agents de réservations bilingues : anglophones/ francophones en réception d’appels, ( les deux langues sont obligatoires). Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
19, BILINGUES EN RECEPTION D'APPELS A MARRAKECH,Centres d'appels, Marrakech ,1 jour avant,Société: Kocc Médias , CDI ,"Profil recherché : Rattaché(e) à votre responsable d'équipe, votre mission consiste à : Assister les clients en répondant efficacement selon les chartes et procédures mises en place, Participer au développement des activités à travers des remontées terrains et des propositions pertinentes, Fidéliser les clients en s'inscrivant dans une démarche d'amélioration basée sur la satisfaction client. Nous offrons les avantages suivants : Salaire de base 5.500 DHS + Primes CNSS + Mutuelle privée, Horaires rotatifs Heures supplémentaires rémunérées, Formation initiale rémunérée, Challenges internes avec des lots à gagner, Poste à occuper ","Vous êtes issu(e) d'une formation Bac+2 toute filière confondue ou équivalent, passionné(e) par la gestion de la relation client. Vous maîtrisez parfaitement le français et l'anglais à l'écrit comme à l'oral, Vous aimez travailler en équipe, tout en restant concentré(e) sur l'atteinte de vos objectifs, Vous avez le sens du service client et commercial, Vous avez de réelles capacités d'écoute et êtes dynamique, rigoureux(se) et organisé(e). Vous avez le goût du Challenge? Vous appréciez le travail d'équipe? Vous souhaitez tracer un réel parcours professionnel ? Ce poste est donc à vous ! ","Cabinet de conseil en publicité, en Rh, qui intervient sur l'optimisation et le développement du capital humain par la mise en place de ses expertises en recrutement, en coaching, en évaluation de talents, en optimisation des processus de gestion des ressources humaines.", CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) , BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 , Français / Anglais 
20, FRANCOPHONE EN RECEPTION D'APPELS A CASABLANCA,Centres d'appels, Casablanca ,1 jour avant,Société: Kocc Médias , CDI ,"Rattaché(e) à votre responsable d'équipe, votre mission consiste à : Assister les clients en répondant efficacement selon les chartes et procédures mises en place, Participer au développement des activités à travers des remontées terrains et des propositions pertinentes, Fidéliser les clients en s'inscrivant dans une démarche d'amélioration basée sur la satisfaction client. Nous offrons les avantages suivants : Salaire de base 4500 DHS + Primes CNSS + Mutuelle privée, Horaires rotatifs Heures supplémentaires rémunérées, Formation initiale rémunérée, Challenges internes avec des lots à gagner, ","Vous êtes issu(e) d'une formation Bac+2 toute filière confondue ou équivalent, passionné(e) par la gestion de la relation client. Vous maîtrisez parfaitement le français à l'écrit comme à l'oral, Vous aimez travailler en équipe, tout en restant concentré(e) sur l'atteinte de vos objectifs, Vous avez le sens du service client et commercial, Vous avez de réelles capacités d'écoute et êtes dynamique, rigoureux(se) et organisé(e). Vous avez le goût du Challenge? Vous appréciez le travail d'équipe? Vous souhaitez tracer un réel parcours professionnel ? Ce poste est donc à vous !","Cabinet de conseil en publicité, en Rh, qui intervient sur l'optimisation et le développement du capital humain par la mise en place de ses expertises en recrutement, en coaching, en évaluation de talents, en optimisation des processus de gestion des ressources humaines.", CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) , BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 , Français 
21, MARRAKECH - CHARGES DE CLIENTELE GERMANOPHONES EN RECEPTION D'APPELS,Centres d'appels, Marrakech ,1 jour avant,Société: E-MEDIAS , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV via ce site ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
22, Chargé de communication (Stage pré embauche),Télécommunications, Rabat ,1 jour avant,Société: Achmitech , CDI ,"Étudiant(e) en communication, marketing, journalisme ou dans un domaine connexe. Fortes compétences rédactionnelles et capacité à produire un contenu clair, concis et engageant. Excellentes compétences en communication verbale et écrite en français (la maîtrise de l'anglais serait un atout). Maîtrise des outils informatiques de base, y compris Microsoft Office. Créativité, curiosité et capacité à travailler de manière autonome et en équipe. Un intérêt pour le secteur [insérer le secteur d'activité] serait un avantage.","Intitulé du poste : Chargé(e) de Communication (Stage Pré-embauche) Assister à la création de contenu pour nos plateformes de médias sociaux, notre site web et d'autres canaux de communication. Contribuer à la rédaction et à la conception de documents de communication tels que des communiqués de presse, des newsletters internes, des présentations, etc. Participer à l'organisation d'événements internes et externes, y compris la gestion des invitations, la logistique et la coordination des intervenants. Effectuer une veille concurrentielle et sectorielle pour identifier les tendances et les opportunités de communication. Apporter un soutien administratif général à l'équipe de communication.","Acteur reconnu de la transformation Digitale, ACHMITECH se distingue par son approche orientée Innovation et Efficacité opérationnelle. Des talents experts dans leurs domaines et un savoir faire distribué habilement entre notre centre offshore et nos interfaces clients dans les quatre coins du globe.", CDI , Marketing , Fraichement diplômé , BAC+3 , Français 
23, CHARGEE DES ACHATS ET MOYENS GENERAUX,Grande distribution, Casablanca ,1 jour avant,Société: STE ANONYME , CDI ,CHARGEE DES ACHATS ET MOYENS GENERAUX,CHARGE DES ACHATS ET MOYENS GENERAUX,"Nous sommes une société spécialisée dans la découpe et la transformation de la viande rouge ( produits élaborés , charcuterie , viande rouge entier et découpé ) , destinée pour nos clients divers.", CDI , Commerce / Distribution / Vente / Import-export , Confirmé (de 7 à 10 ans) , BAC+4 , Français 
