0, TELECONSEILLERS DEBUTANTS,Centres d'appels, Rabat ,14 heures avant,Société: OXO . COM , CDI ,"Vous avez un bon niveau en langue française. - Vous aimez le relationnel ? -Vous recherchez un premier emploi stable sans rupture d'activité et un salaire garanti ? -Ce poste est pour vous, pour tous les jeunes qui cherchent la stabilité et l'évolution, Rejoignez nos équipes rapidement Salaire+ primes Contrat de travail+CNSS+AMO Cadre de travail AGREABLE",Nous recrutons des TELECONSEILLERS DEBUTANTS pour plusieurs projets,"Implanté à Rabat depuis plus de 10 ans, OXO est un centre d'appel qui assure des prestations de services annuelles en émission et réception pour des leaders du marché français et internationaux qui visent le partenariat, la continuité et la stabilité.", CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC , Français 
11, CHARGEE DES ACHATS ET MOYENS GENERAUX,Grande distribution, Casablanca ,23 heures avant,Société: STE ANONYME , CDI ,CHARGEE DES ACHATS ET MOYENS GENERAUX,CHARGEE DES ACHATS ET MOYENS GENERAUX,"Nous sommes une société spécialisée dans la découpe et la transformation de la viande rouge ( produits élaborés , charcuterie , viande rouge entier et découpé ) , destinée pour nos clients divers.,", CDI , Commerce / Distribution / Vente / Import-export , Confirmé (de 7 à 10 ans) , BAC+4 , Français 
12, MARRAKECH - CC GERMANOPHONES EN RECEPTION D'APPELS - CONTRAT CDI,Centres d'appels, Marrakech ,23 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
13, Casablanca - Gestionnaires de Sinistre - Conseillers en Assurance Francophone En Réception D'Appels,Centres d'appels, Casablanca ,23 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe de 4500DHS + Primes mensuelles. - CNSS + Mutuelle privée - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H. Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.","Nous recrutons des chargés de clientèle en réception d’appel et back-office pour le leader français du courtage en assurance-santé sur internet. Votre rôle consiste à : -Prendre en charge les appels des clients et les guider en fonction de leurs demandes. -Répondre aux questions des clients, et les renseigner sur les offres promotionnelles de votre assurance. -Informer les clients sur le suivi de leurs dossiers et la procédure à suivre. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
14, CASABLANCA - TÉLÉCONSEILLERS FRANCOPHONES POUR SERVICE CLIENT A CASANEARSHORE,Centres d'appels, Casablanca ,23 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché pour le poste : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, avec de bonnes connaissances en téléphonie mobile, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Horaires entre 8H/20H, 2 jours off par semaine. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
15, GOUVERNANTE D'ETAGE,Tourisme / Hôtellerie / Restauration, Agadir ,23 heures avant,Société: HOTEL 4* , CDI ," Former et encadrer le personnel • Planifier les travaux à effectuer chaque jour, recueillir les feuilles d’état des salles et des étages pour les aires de travail assignées et surveiller les progrès quotidiens de chaque préposé aux salles. Inspecter les pièces terminées pour s’assurer que toutes les normes ont été respectées.• Coordonner les bons de travail dans la section assignée. Assure le suivi pour s’assurer que le travail est terminé. Libère les salles de caisse à vendre. • Surveiller le rendement des préposés de la Chambre. Veiller à ce qu’il y ait suffisamment de fournitures sur les étages des invités. Vérifie la propreté des couloirs, des escaliers, des ascenseurs et des armoires à linge • Travaille de façon harmonieuse et professionnelle avec ses collègues et ses superviseurs •",Gouvernante d'etage /floor supervisor,nous recherchons pour le compte de notre Hotel 4* sur la ville d'agadir ; une gouvernante d'etage /Floor supervisor, CDI , Tourisme / Hôtellerie / Restauration , Débutant (de 1 à 3 ans) , BAC , Français 
16, Télétravail,Centres d'appels, Rabat ,23 heures avant,Société: N-business , CDI ,"• Vous avez une expérience sur une activité germanophone,francophone • Vous avez le sens de l’écoute. • Vous avez le sens du service. • Une bonne aisance relationnelle. • Une bonne maîtrise de l’allemand,français",Commerçial," Travaillez depuis le confort de votre domicile partout au maroc Dans le cadre du lancement d'un nouveau projet, nous recrutons des télé-marqueteurs germanophones,francophone afin d'assurer le service client et la commercialisation de produits d’énergie, bienêtre et online Marketing orientes vers la clientèle allemande et suisse. • Type d'emploi : CDI • Type d'emploi : Temps plein, CDI • Salaire : à partir de 5000DH et négociable, vous bénéficierez d'un salaire fixe + primes diverses, prime non plafonnée et weekend off. • Primes intéressantes. • Un entretien sur place ou par téléphone. • Si Vous avez un esprit d'équipe et vous aimez travailler en collaboration, alors c’est l’occasion de commencer votre carrière avec une équipe jeune dynamique et motivé.", CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC , Français / Allemand 
17, Conseillers Commerciaux Experts en Assurance/Mutuelle Santé : Salaire jusqu’à 30 000 dhs (Courtier Français),Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 jour avant,Société: CPA CS , CDI ,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement","Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.",CPA CS est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché français basé à Casablanca et rabat., CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
18, Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE : Rem jusqu’à 35 000 dhs,Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 jour avant,Société: CPA MAROC , CDI ,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement","Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.",CPA MAROC est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché français., CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
19, Formateur en comptabilité rabat,Education / Enseignement / Formation, Rabat ,1 jour avant,Société: Direct performance , Free Lance ,Formateur en comptabilité rabat,Formateur en comptabilité rabat,nous cherchons des formateurs vacataire en comptabilité au niveau de rabat, Free Lance , Enseignement / Formation / Traduction , Débutant (de 1 à 3 ans) , BAC+3 , Français 
20, EXPERT EN ASSURANCES RC DÉCENNALE / MRP / RC PRO,Centres d'appels, Rabat ,1 jour avant,Société: CELYINS Assurances , CDI / CDD / Free Lance ,"–EXPERT en assurance DECENNALE avec une expérience commerciale réussie de deux ans minimum. –La commercialisation de contrats d’assurances IARD pour des clients entreprises en France. –Comparer, conseiller et orienter les clients vers la solution la plus adaptée à leurs besoins. –Respecter la politique de diversification des offres en fonction des attentes des clients. –Négocier et suivre les ventes jusqu’à la réception des contrats. –Garantir la qualité de la prestation à son plus haut niveau.","- Un contrat CDI avec Salaire de 6000dh à 7000DH + Primes déplafonnées pouvant aller jusqu’à 30.000DH (Pourcentage sur le Chiffre d’affaire réalisé) - CNSS Dès le 1er jour de production - Une bonne couverture sociale ( Mutuelle complémentaire santé à partir du 6éme mois) - Formation continue assurée - Fort potentiel d'évolution en interne Envoyez vos demande de candidature accompagnée de votre CV à jours, Type d'emploi : Temps plein, CDI ","Courtier Spécialisé en risques professionnels, CELYINS Assurances, Succursale d'un grand groupe d'assurance français, recrute des conseiller(ère)s Expert(e)s en Assurance RC décennale, MRP et RC Pro – Vous êtes EXPERT en assurance DECENNALE avec une expérience commerciale réussie de deux ans au minimum; – vous avez une très bonne maîtrise de la langue Française; – Vous êtes reconnu(e) pour votre bon sens relationnel; – Vous avez l’esprit du challenge Ce poste est fait pour vous. N’attendez plus postulez dès maintenant.", CDI / CDD / Free Lance , Métiers des centres d'appels , Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) , NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 , Français 
21, Courtier Français en assurance Recrute en CDI : Commerciaux en Assurance Santé et Auto : Rem jusqu'a 30 000 dhs,non spécifié, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 jour avant,Société: LES MANDARINS MAROC , CDI ,"Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission","Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.","Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, Recrute plusieurs profils experts suite à l'ouverture de notre Site à Ain Atiq (région de Témara): Conseillers Commerciaux experts en assurance SANTE + AUTO + DECENNALE. Expérience exigée d'un an minimum dans un poste similaire.", CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
22, TÉLÉCONSEILLER(E) Bilingues EN RÉCEPTION D'APPEL,Centres d'appels, Casablanca ,1 jour avant,Société: Jobeo , CDI ,"Pour le compte de notre partenaire Canadien, Nous sommes à la recherche TÉLÉCONSEILLER(E) EN RÉCEPTION D'APPEL pour répondre aux appels entrants ainsi que les demandes e-mails via un CRM. Poste basé à Casablanca Horaire de jour et de soir - entre 14h et 2h du matin. Qualifications et compétences : Expérience en vente incitative ou en service à la clientèle (un atout); Connaissances de base des ordinateurs (MS Office); Expérience souhaitée avec le marché Canadien Poste basé à Casablanca sur site Agent expert en relation client en Réception Avoir la capacité à identifier les besoins des clients et à y répondre; Être capable de forger une relation de confiance avec les clients par téléphone; Horaire de jour et de soir - entre 14h et 2h du matin à hauteur de 8heures/jours-40heures par semaine avec 2jours Off Poste basé à Casablanca",Agent expert en relation client en Réception et traitement de leads; Avoir la capacité à identifier les besoins des clients et à y répondre; Être capable de forger une relation de confiance avec les clients par téléphone; Horaire de jour et de soir - entre 14h et 2h du matin à hauteur de 8heures/jours-40heures par semaine avec 2jours Off Poste basé à Casablanca,"JOBEO est un cabinet spécialisé dans la formation, l'évaluation et le conseil. Nous intervenons dans différents secteurs tels que : la relation clientèle, communication, ressources humaines, les langues?", CDI , Métiers des centres d'appels , Junior (de 3 à 5 ans) , BAC+2 , Français / Anglais 
23, MARRAKECH- CHARGES DE CLIENTÈLE EN LANGUE ALLEMANDE - RECEPTION D'APPELS,Centres d'appels, Marrakech ,1 jour avant,Société: E-MEDIAS , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
