9,Responsable Service Import ( Tanger ) , Confidentiel ,16/02/2024," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Chargé de la gestion des réclamations des clients et proposer les solutions les plus adaptées pour eux. (En collaboration avec les déclarants et les agents d’exploitation du même service) Superviser la distribution des portefeuilles clients (dossiers) aux déclarants Etablir les tableaux de bord de gestions des flux des opérations quotidiennes et les statistiques annuellesï± Cordonner les plannings des employés en cas de congés, jours fériés, jours de repos en collaboration avec le responsable les ressources humaines Diffuser l’information vers les différentes équipes (commis, déclarants, clients, douane……) Maîtriser des procédures et réglementations douanières (tarif douanier, régime, etc.) "
10,Automation Engineer, Confidentiel ,16/02/2024," AL KHOBAR, SAUDI ARABIA ", SAUDI ARABIA ,non spécifié, AL KHOBAR , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Expertise in Substation Automation: Proven ability in designing, configuring, and implementing substation automation systems, including PLCs (Siemens S7, Allen Bradley, Modicon), SCADA (Zenon, Survalent, Wonderware, WinCC), and HMI solutions, focusing on supervisory control and data acquisition in substations. RTU and IED Configuration: Deep knowledge in configuring and maintaining RTUs (D20/200, SEL RTAC, GE D20, GE G500) and IEDs, essential for efficient substation operations. Advanced Skills in Communication Protocols: Proficient in industrial communication protocols such as Modbus, DNP3, IEC 61850, and IEC 101/104, critical for ensuring robust and reliable substation automation. Commissioning and System Integration: Skilled in commissioning and integrating automation systems, including SCADA and HMI, into existing substation infrastructure. HMI Development and Implementation: Experienced in developing and implementing intuitive HMI interfaces for effective control and monitoring of substation operations. Comprehensive System Testing: Responsible for thorough testing and validation of automation systems to ensure optimal performance and compliance with safety standards. "
11,Responsable Achats Approvisionnement Du Site, Confidentiel ,06/02/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Personne de contact central pour les questions commerciales pour tous les fournisseurs locaux concernant le projet en question. Basé sur le site de construction Responsable de la négociation des conditions (prix) avec tous les fournisseurs, ainsi que de la conclusion des accords-cadres correspondants Soutien et conseil au chef de chantier et à la direction du projet en ce qui concerne l'exécution budgétaire des projets Exécution commerciale de la procédure d'appel d'offres Traitement opérationnel des commandes (y compris les activités dans le système ERP respectif) pour un traitement efficace, opportun et adéquat du processus d'achat Aide à la préparation de recommandations pour l'attribution de contrats Suivi des dates de livraison et information de la direction du site et de la direction du projet en cas de retard imminent Gestion des plaintes et traitement des réclamations Préparation des documents et contrats liés aux achats (contrats types/accords-cadres) Audit commercial des factures entrantes avec clarification finale et obtention de l'approbation Gestion active des fournisseurs Dans le meilleur des cas, vous avez déjà de l'expérience dans l'achat de projets de construction / d'ingénierie d'usine. Vous rendez compte au chef de chantier et à la direction du projet. Interagir avec les fournisseurs locaux et la comptabilité "
12,Responsable Ressources Humaines, Confidentiel ,06/02/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Gérer toutes les tâches administratives quotidiennes liées aux ressources humaines, en veillant à ce que tous les dossiers des employés et des ressources humaines soient exacts et à jour. Contribuer au processus de recrutement de bout en bout Créer des supports de formation pour les employés sous la direction du responsable de l'apprentissage et du développement Participer à l'établissement des fiches de paie mensuelles et à la résolution des problèmes de paiement Préparer les courriels d'offres d'emploi et les contrats d'embauche Soutenir le développement des processus d'évaluation des performances et des systèmes de récompense Assumer l'entière responsabilité de tous les congés annuels et des registres de présence Intégrer les nouveaux employés et superviser les périodes d'essai Vous rendez compte directement au chef de chantier et à la direction du projet. "
13,Assistant ( E ) Administratif ( Ve ) , Confidentiel ,06/02/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," L’assistant administratif est placé sous l'autorité directe du chef de chantier Basé sur le chantier de construction Soutenir le chef de chantier dans ses activités quotidiennes Préparer les rapports hebdomadaires pour le chef de projet, de client Engineering central Préparation et organisation de toutes les visites de chantier Préparation et organisation du permis de travail nécessaire pour les experts étrangers "
14,ContrÃ´leur / Comptable De Chantiers, Confidentiel ,06/02/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Le contrôleur de chantier / comptable de chantier est placé sous l'autorité directe du chef de chantier Basé sur le site de construction Responsable de la saisie des données dans le système de contrôle de client Engineering et de la préparation des rapports de projet réguliers Personne de contact principal pour le département de contrôle de client Engineering et les départements commerciaux de client Suivi des paiements aux fournisseurs locaux Rapprocher les comptes créditeurs et débiteurs Veiller à ce que les paiements bancaires soient effectués en temps voulu Vérifier les transactions et les documents financiers Veiller au respect des exigences réglementaires et des normes professionnelles 
15,Superviseur Ãlectrique, Confidentiel ,06/02/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le superviseur électrique est directement rattaché au responsable du site Basé sur le site et le contact pour tous les sujets relatifs à l'installation électrique Prendre en charge les travaux d'installation électrique conformément au calendrier approuvé du projet, aux normes de qualité et au budget du projet Aligner les activités d'installation électrique sur les réglementations et lois locales et nationales, en étroite collaboration avec la direction de l'unité locale de client Soutenir le processus d'appel d'offres local pour les activités d'installation électrique Coordination des entreprises d'installation électrique sur le site Vérification des factures des entreprises d'installation électrique Aide à la préparation des rapports hebdomadaires pour le chef de projet, l'unité centrale de client Engineering et l'unité locale de client. "
16,Superviseur MÃ©canique, Confidentiel ,06/02/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le superviseur mécanique est directement rattaché au responsable du site Basé sur le site et le contact pour tous les sujets relatifs à l'installation mécanique Prendre en charge les travaux d'installation mécanique conformément au calendrier approuvé du projet, aux normes de qualité et au budget du projet Aligner les activités d'installation mécanique sur les réglementations et lois locales et nationales, en étroite collaboration avec la direction du client Soutenir le processus d'appel d'offres local pour les activités d'installation mécanique Coordination des entreprises d'installation mécanique sur site Vérification des factures des entreprises d'installation mécanique Aide à la préparation des rapports hebdomadaires pour le chef de projet, l'unité centrale de client Engineering et l'unité locale de client "
17,Superviseur Construction, Confidentiel ,06/02/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le superviseur de la construction est directement rattaché au chef de chantier (responsable de site) Basé sur le site et le contact pour tous les sujets liés à la construction Prendre en charge les travaux de génie civil conformément au calendrier approuvé du projet, aux normes de qualité et au budget du projet Aligner les activités de travaux de génie civil en conformité avec les réglementations et lois locales et nationales, en étroite collaboration avec la direction de l'unité locale de client Soutenir le processus d'appel d'offres local pour les travaux de génie civil Coordination des entreprises de construction civile sur site Vérification des factures des entreprises de construction civile Aide à la préparation des rapports hebdomadaires pour le chef de projet, l’unité centrale de client Engineering et l'unité locale de client "
18,Assistant Administratif Bureau/assistante Administrative Bureau, Confidentiel ,31/01/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Anglais , Negociable ,non spécifié," Gestion et suivi des dossiers techniques en cours Gestion du courrier entrant et sortant Organisation des rendez-vous et planification des déplacements des responsables travaux Préparation des réunions, coordination des réservations de salles pour les réunions Etablir et mise à jour de tableaux internes au service, comme par exemple les relevés de coûts, la liste des ouvertures de magasins, partage interne aux autres services de l’entreprise Réalisation de documentations et de supports administratifs Vérification des factures Gestion administrative et archivage des documents de construction et de facturation, garantie de la traçabilité de ces documents et vérification de leur exhaustivité Établir la distribution et le suivi des retours de commandes de prestations de construction/contrats avec conditions de commande sur la base des offres existantes. Réalisation des appels d’offres techniques "
19,Directeur D'exploitation, Confidentiel ,31/01/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Définir avec la Direction Générale la stratégie commerciale ; Etre force de proposition dans la stratégie de développement du groupe ; Etre le garant du respect des budgets définis et assurer les reportings périodiques ; Anticiper les évènements (ouvertures de nouveaux points de vente, arrivée des nouvelles gammes etc…) pour mettre en place les conditions nécessaires à leur pleine efficacité ; Mettre en place l’organisation commerciale la plus efficiente pour garantir l’atteinte des objectifs commerciaux en matière de volume de marge et services ; Assurer la communication et le lien transversal avec l'ensemble des directions intervenantes afin de réussir et favoriser l'intégration des projets d’exploitation au sein de l'entreprise ; Définir les moyens pour développer l'offre de l'entreprise : structuration de la force de vente, outils d'aide à la vente, administration des ventes... ; Identifier les cibles commerciales pertinentes pour la force commerciale; Renforcer les synergies et la cohésion au sein de ses équipes pour obtenir la meilleure productivité ; Garantir la montée en compétence de vos collaborateurs et détecter les potentiels pour garantir le développement commercial du groupe. "
20,Comptable, Confidentiel ,29/01/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Tenue de la comptabilité générale: Saisir les écritures comptables (achats - ventes-OD) Gérer de la comptabilité clients (enregistrement des factures, des règlements, lettrage) ; Vérifier les factures d'achats et établir les bordereaux de comptabilisation. Vérifier la cohérence et l'exhaustivité des différentes pièces (bon de commande, bon de réception, bon de livraison, facture) avec le règlement ; Gérer de la comptabilité clients (enregistrement des factures, des règlements, lettrage) ; Suivi des factures en instance de paiement Saisir les règlements Etablir les rapprochements bancaires Classer les documents comptables Déclarations fiscales et travaux de clôture: Préparer les déclarations fiscales (TVA-RAS-…) Produire les analyses comptes de charges et comptes de bilan. Participer au processus de clôture mensuelle et annuelle Participer au bon déroulement des audits "
21,Chef De Projet IngÃ©nierie, Confidentiel ,26/01/2024," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Consolidates all detailed PPP into one Detailed PPP with the Planned timing of each production preparation activity for all customer trial builts and for Mass Production. Maintain team member clear communication on project timing and deliverables. Puts in place corrective actions for any deviation in project timing,quality or cost. Completes Launch Readiness Assessment Report in a monthly basis. Coordinate the projects in accordance with GPMS standard. Compiles 4M status in a weekly basis with corrective actions. Organises weekly project meeting with cross functional team. Interfaces with BU for all project related items. Project risks assesment & lessons learned monitoring. Communicate the customer requirements or expectations to the team & ensure its respect. Coordinates Obeya room activities. "
22,Agent Maritime Boarding Clerk, Confidentiel ,26/01/2024," El Jadida, Maroc ", Maroc ,non spécifié, El Jadida , CDI ,Experience :, Bac + 2 , Anglais , Negociable ,non spécifié," Visiter les navires aux accostages et assister leurs commandants auprès des autorités portuaires et des prestataires maritimes. Mettre à jour et diffuser la situation journalière des navires chaque matin vers 08.00 Mettre à jour et envoyer quotidiennement vers 11.00 l’état des prévisions des mouvements des navires et confirmer ces mouvements sur PortNet (DA). Envoyer les Email des demandes de modification des mouvements s’il y a lieu, et appliquer ces modifications sur portnet. Auditer les prestations de Gardiennage et ramassage des ordures durant l’escale des navires. Saisir le statement of facts des navires. Réaliser et mettre à bord des cargos documents pour signature par les commandants suivants les instructions documentaires. Collecter les informations avant appareillages et assister les mouvements des navires. Envoyer par e-mail les messages de fins chargements des navires et les scans des cargos documents aux parties concernés. Envoyer les originaux des connaissements et les cargos documents sur demande de la direction commerciale. Traiter les Emails de la boîte commune de l’agence et assurer le partage de l’information avec les personnes intéressées. "
23,Agent De Facturation, Confidentiel ,26/01/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 2 , Anglais , Negociable ,non spécifié," Réception, Vérification et contrôle des factures des prestations rendues aux navires. Envoyer les factures conformes à CEC CASBLANCA et renvoyer les facturés erronées aux prestataires concernés pour les rectificatifs et retour Valider l’accord n°1 sur quantité des factures remontées sur l’application INVOICE. Insérer sur SIGMA les FDA et leurs factures validées. Etablir les Ordres de Payements des frais de la TRG, de la police d’immigration, de la marine marchande, des déclarations sommaires ou des frais médicaux pour marins malades. Mettre à jour sur SIGMA la facturation partie B et la partie C du FDA Valider les FDA sur SIGMA Insérer les factures sur SRM et mettre à jour leur statut de paiement. "
24,Responsable Achats, Confidentiel ,26/01/2024," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Personne de contact central pour les questions commerciales pour tous les fournisseurs locaux concernant le projet en question Basé sur le site de construction Responsable de la négociation des conditions (prix) avec tous les fournisseurs, ainsi que de la conclusion des accords-cadres correspondants Soutien et conseil au chef de chantier et à la direction du projet en ce qui concerne l'exécution budgétaire des projets Exécution commerciale de la procédure d'appel d'offres Traitement opérationnel des commandes (y compris les activités dans le système ERP respectif) pour un traitement efficace, opportun et adéquat du processus d'achat. Aide à la préparation de recommandations pour l'attribution de contrats Suivi des dates de livraison et information de la direction du site et de la direction du projet en cas de retard imminent Gestion des plaintes et traitement des réclamations Préparation des documents et contrats liés aux achats (contrats types/accords-cadres) Audit commercial des factures entrantes avec clarification finale et obtention de l'approbation Gestion active des fournisseurs Dans le meilleur des cas, vous avez déjà de l'expérience dans l'achat de projets de construction / d'ingénierie d'usine Vous rendez compte au chef de chantier et à la direction du projet Interagir avec les fournisseurs locaux et la comptabilité "
25,Designer Web, Confidentiel ,26/01/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Concevoir graphiquement les créations destinées au site et autres plateformes numériques ; Elaborer, suivre, et contrôler les étapes de la charte graphique et de la production visuelle et audiovisuelle ; Effectuer une veille technologique des outils, tendances et méthodes de création artistique du numérique et actualiser ses compétences ; Être force de proposition pour l’amélioration de l’ergonomie (UX/UI) des supports numériques de l'enseigne et en assurer la mise en œuvre ; Assurer la production des visuels produit (photos, vidéos, 3D) des campagnes ; Peut-être amené à prendre des photos/vidéos des produits pour des besoins de référencement ou catalogue. "
26,Directeur Des OpÃ©rations De Distribution, Confidentiel ,26/01/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Elaborer et mettre en place la stratégie opérationnelle du site Suivre les contrôles d’accès Piloter les équipes de réception rangement, préparation et expédition Gérer les palettes, étiquettes colis et film plastique Gérer les déchets (destruction, casse irrécupérable, tri des déchets) S’assurer de la rigueur des EPI S’assurer du bon déroulement et de la fluidité du flux logistique dans les meilleures conditions (Day to day) Identifier, gérer et développer les relations avec les partenaires. Garantir la préservation du patrimoine de l’entreprise (rayonnage, chariots …) Assurer un benchmark permanent des meilleures pratiques supply chain, logistique et des outils associés afin de proposer les initiatives les plus adaptées Gérer le transport du personnel Piloter les indicateurs de performance (KPI) et réaliser des études statistiques Définir et suivre les bons processus pour maintenir des taux de service élevés Lancer en permanence des projets d’améliorations, dans une optique « test and learn », pour maintenir un très haut niveau de service clients. Être un « problemsolver » vis-à-vis des équipes. Recruter, manager et fédérer votre propre équipe. Suivre ses équipes au quotidien (rigueur, polyvalence, mutualisation des ressources, formation, réactivité, gestion des conflits…) Garantir la fiabilité et l’intégrité des stocks au niveau physique et informatique Assurer une bonne adéquation charge // capacité du site Etre une partie prenante dans la mise en place d’actions d’amélioration pour réduire le taux de casse Définir les moyens à mettre en œuvre pour développer le chiffre d’affaires et la rentabilité de l’entreprise Ajuster les moyens humains et financiers en fonction de la stratégie décidée Piloter les réunions quotidiennes de suivi (QRQC…) Jouer le rôle d’interface entre les différents services de l’entreprise Être force de conseil en matière de développement de projets et amélioration de la productivité (réduction du temps de préparation, temps de réception, temps de chargement…) Garantir une satisfaction logistique optimale à travers d’une productivité optimale Dynamiser et motiver ses équipes Procéder à l’évaluation annuelle de ses équipes. "
27,Responsable De Formation, Confidentiel ,26/01/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Recueillir et analyser les besoins en formation. Élaborer le plan de formation. Gérer le planning des formateurs. Rédiger des comptes rendus de formation. Assurer la gestion d’une équipe de formateurs. La conception modulaire des formations de base et formation continue Gestion de la logistique de la formation. Développer des nouveaux processus d’évaluation. 
28,Assistant ( E ) Adv Local, Confidentiel ,22/01/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," S'assurer que l'ensemble de la chaîne commerciale, logistique et administrative est respecté en validant chacune des étapes jusqu'au suivi du client Etablir les offres commerciales "
,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
29,Directeur GÃ©nÃ©ral Adjoint/directrice GÃ©nÃ©rale Adjointe, Confidentiel ,19/12/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Démarcher les clients potentiels et gérer l’équipe commerciale Gérer le volet financier de l’entreprise Gérer les contacts avec les banques Structurer et optimiser l’ensemble des processus de la société Auditer les procédures internes : stock, trésorerie, distribution, etc. Proposer une stratégie d’entreprise à court et moyen terme, fixer les objectifs et mettre en place les leviers pour les atteindre Gérer les tableaux de bord, l’état financier, … Gérer le volet RH (recrutement, salaires, conflits…) Travailler sur le mix produits et proposer les changements à apporter "
