,Poste,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
113,  CHARGE DE COOPERATION ET COORDINATION,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
114,  Infirmier Polyvalent,non spécifié,4,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
115,   Opérateur / Conducteur De Machine D'ennoblissement,non spécifié,3,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
116,  Educateurs Et Educatrices Du Préscolaire,non spécifié,17,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
117,  Téléconseiller,non spécifié,2,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
118,  Secrétaire De Direction,non spécifié,2,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
119,  Comptable (F),non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
120,  Câbleuses,non spécifié,60,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
121,  Opératrices De Câblage,non spécifié,50,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
122,  OPÉRATRICE DE CÂBLAGE,non spécifié,20,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
123,   Rédacteur Sinistre,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
124,   Comptable,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
125,  Technicien Spécialisé D'études Sur L'eau,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
126,   Employé De Bureau,non spécifié,4,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
127,  Assistant De Sejours,non spécifié,3,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
128,  Assistant Médical Département Oncologie,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
129,  OPERATEURS DE PRODUCTION,non spécifié,10,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
130,   Magasinier D'entrepôt,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
131,  Vendeur,non spécifié,2,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
132,   Développeur,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
133,  Agent D'accueil (traçabilité),non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
134,  ASSISTANTE COMMERCIALE,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
135,  Assistante Administrative Et De Vente,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
136,  Menuisier En Aluminium,non spécifié,2,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
137,  Chargé Des Moyens Généraux,non spécifié,5,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
138,  Spécialiste D'exploitation SI,non spécifié,3,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
139,  Infirmière De Travail,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
140,   Commercial/Commerciale,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
141,  Senior Manager HSE,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
142,  Nous Cherchons Des Candidats Pour Une Formation Des Vendeurs Pour Le Compte D'une Entreprise A Casablanca.,non spécifié,25,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
143,  - Appétence Commerciale - Tenace Et Persévérant - Maitrise De L’outil Informatique Et Internet - Une Première Expérience En Tant Que Commercial Dans Le Secteur De La Relation Client Est Un Atout,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
144,  SECRÉTAIRE MÉDICALE,non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
145,  TELECONSEILLERS,non spécifié,3,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
146,  Dessinateur Du Bâtiment (F),non spécifié,1,28/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
147,  RESPONSABLE MAGASIN STOCK,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
148,  Employées,non spécifié,5,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
149,"  Commerciaux, Enseignants, Techniciens En Industrie",non spécifié,20,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
150,   Opérateur Sur Machine Mécanisée1 De Câblage,non spécifié,50,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
151,  Enseignant En Langue Français,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
152,  Une Bonne Assistante Commercial .,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
153,  01 Commerciale,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
154,  Magasinier Sur Tamait (Drarga),non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
155,  OPERATEURS,non spécifié,75,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
156,  MAGASINIER,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
157,  SECRETAIRE DE DIRECTION,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
158,  COMMERCIAL,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
159,  Employé De Gestion Administrative,non spécifié,2,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
160,  Conseiller (re) Clientèle,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
161,  Vendeuses,non spécifié,6,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
162,  Gouvernante,non spécifié,10,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
163,  2 FEMME DE NETTOYAGES. 2 AGENTS DE SERVICES.,non spécifié,4,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
164,  Magasinier Polyvalent,non spécifié,4,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
165,  ENSEIGNANTE D ANGLAIS,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
166,  OPERATEUR EN CABLAGE AUTOMOBILE,non spécifié,30,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
167,  TRADUCTEUR (trice) ANGLOPHONE,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
168,  03 Maçons 03 COFFREURS 03 FERRAILLEURS,non spécifié,9,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
169,  Agent De Voyage,non spécifié,2,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
170,  Responsable De Maintenance Industrielle,non spécifié,1,27/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
