,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
494,Employé des services financiers, Commerce et réparation automobile ,1,07/02/2024,non spécifié, RABAT AGDAL,CI,SEXE FEMININ,"Diplôme du 2ème cycle universitaire ,Gestion ",non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
495,Infirmier polyvalent , Autres ,1,07/02/2024,14/02/2024, FES,CI,"Surveiller, évaluer, documenter et consigner les symptômes et les changements dans l'état des patient(e)s. Assister les médecins lors des interventions chirurgicales et des procédures médicales. Superviser, s'il y a lieu, d'autres membres du personnel. Exécuter la démarche de renvoi des patient(e)s",non spécifié,non spécifié,Francais : Bon,TECH SP INFIRMIER POLYVALENT
496,Secrétaire bureautique spécialisé, Métallurgie ,1,07/02/2024,non spécifié, FES,CI,ETABLIR LES FACTURES/ LES DEVIS ET GERER LES APPELS TELEPHONIQUES.,Technicien spécialisé,(moins de 6 mois),Francais : Moyen,non spécifié
497,Responsable logistique," Fabrication de meubles, industries diverses ",1,07/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,-Négociation avec les fournisseurs. -Gestion des retours (produits défectueux) -Gestion des commandes. -Suivi des livraisons -Gestion des stocks,"Bac + 3, bachelor ,Achats et logistique ",(6 mois - 1 an),"Francais : Bon, Anglais : Notions",non spécifié
498,Operateur de production de l’industrie automobile, Industrie automobile ,100,07/02/2024,15/02/2024, BERRECHID,CI,opératrices / opérateurs de câblage.,Certificat de spécialisation professionnelle,non spécifié,non spécifié,non spécifié
499,Barman, Hôtellerie et restauration ,2,07/02/2024,non spécifié, OUAD EDDAHAB,CI,non spécifié,Diplôme de qualification professionnelle,(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Moyen, Anglais : Notions",non spécifié
500,Réceptionniste/nigth auditeur, Hôtellerie et restauration ,2,07/02/2024,non spécifié, OUAD EDDAHAB,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises (OFPPT ) ",(6 mois - 1 an),"Francais : Bon, Arabe : Langue maternelle, Anglais : Bon",non spécifié
501,Employé de ménage, Hôtellerie et restauration ,2,07/02/2024,non spécifié, OUAD EDDAHAB,CI,Ponctualité Rigueur et Propreté.,Diplôme de qualification professionnelle,(6 mois - 1 an),Arabe : Langue maternelle,non spécifié
502,Vendeur matériel informatique, Services fournis principalement aux entreprises ,10,07/02/2024,non spécifié, PLUSIEURS VILLES,CI,non spécifié,non spécifié,non spécifié,"Arabe : Bon, Francais : Moyen",non spécifié
503,Conseiller en développement local, Activités associatives ,1,07/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
504,Entraîneur sportif, Activités associatives ,1,07/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
505,Entraîneur sportif, Activités associatives ,2,07/02/2024,26/02/2024, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
506,Entraîneur sportif, Activités associatives ,1,07/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
507,Entraîneur sportif, Activités associatives ,2,07/02/2024,12/02/2024, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Anglais : Bon, Francais : Bon",non spécifié
508,Entraîneur sportif, Activités associatives ,1,07/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
509,Entraîneur sportif, Activités associatives ,1,07/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
510,Entraîneur sportif, Activités associatives ,2,07/02/2024,26/02/2024, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
511,Commercial/Commerciale, Services fournis principalement aux entreprises ,1,07/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Technicien spécialisé ,Commerce et Gestion ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Moyen, Anglais : Notions",non spécifié
512,Employé polyvalent de restauration , Hôtellerie et restauration ,20,07/02/2024,20/04/2024, CASA-NOUACER,CI,"Réaliser les préparations culinaires en respectant la fiche technique et les normes d’hygiène requise Effectuer les tâches de débarrassage et de nettoyage des espaces de service et de travail Effectuer la mise en place des espaces de services Servir la clientèle au comptoir ou, le cas échéant à la place",Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
513,Enseignant des écoles, Education ,3,07/02/2024,01/03/2024, Youssoufia,CI,"les candidats (e) ayant une première expérience dans l'enseignement, le salaire proposé est le SMIG. Pour les débutant (sans expérience/ ou ayant effectué un stage dans l'enseignement) le salaire est de 1600 dh.",Diplôme du 1er cycle universitaire,non spécifié,Francais : Bon,non spécifié
514,Conducteur livreur, Services fournis principalement aux entreprises ,1,07/02/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,Baccalauréat,non spécifié,"Arabe : , Francais : ",non spécifié
515,Vendeur/Vendeuse, Santé et action sociale ,1,06/02/2024,non spécifié, OUARZAZATE ,CI,Exigence de l'expérience dans le domaine de l'exprience. Reconduction du contrat CI vers contrat CDI à partir de 3mois,"Baccalauréat ,Voie scientifique ECS ",(2 ans - 3 ans),"Francais : Bon, Arabe : Bon",non spécifié
516,Opérateur de fabrication de faisceaux , Industrie automobile ,80,06/02/2024,13/02/2024, BOUKNADEL,CDI,non spécifié,"Sans diplôme ,Aucune formation suivie ",non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
517,Soudeur, Commerce de gros et intermédiaires du commerce ,1,06/02/2024,21/02/2024, AGADIR,CDD,non spécifié,"Technicien ,Bureau d'étude en construction métallique ",(6 mois - 1 an),Francais : Bon,non spécifié
518,Monteur électricien d'équipements industriels, Fabrication de machines et appareils électriques ,3,06/02/2024,19/02/2024, RABAT CENTRE,CDI,non spécifié,"Technicien ,Electricité de maintenance industrielle ",non spécifié,non spécifié,non spécifié
519,Secrétaire de direction, Services personnels ,1,06/02/2024,01/03/2024, KENITRA ,CI,non spécifié,"Technicien ,Secrétariat de direction ",non spécifié,Francais : Bon,non spécifié
520,Vendeur/Vendeuse, Postes et télécommunications ,1,06/02/2024,12/02/2024, KENITRA ,CDD,non spécifié,"Technicien ,Agent technique de vente ",(6 mois - 1 an),Francais : Bon,non spécifié
521,Agent d'encadrement de maintenance, Services fournis principalement aux entreprises ,1,06/02/2024,14/02/2024, AGADIR,CI,non spécifié,"Technicien ,Méthodes en fabrication Mécanique ",(6 mois - 1 an),Francais : Bon,non spécifié
522,Agent de montage-assemblage de la construction mécanique, Industries alimentaires ,2,06/02/2024,12/02/2024, CASA-NOUACER,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
523,Aide agricole polyvalent ou saisonnier," Agriculture, chasse ",50,06/02/2024,non spécifié, OUAD EDDAHAB,CDD,non spécifié,Sans diplôme,(6 mois - 1 an),Arabe : Langue maternelle,non spécifié
524,Opérateur de fabrication de faisceaux , Fabrication de machines et appareils électriques ,100,06/02/2024,12/02/2024, CASA-NOUACER,CI,- Avoir un diplôme bac / qualification/ technicien/ technicien spécialisé /spécialisation,non spécifié,non spécifié,non spécifié,non spécifié
525,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,30,06/02/2024,non spécifié, TANGER-ASSILAH,CDD,non spécifié,"Sans diplôme ,Sans option ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Notions",non spécifié
526,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,100,06/02/2024,01/03/2024, FKIH BEN SALEH,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
527,Cuisinier, Hôtellerie et restauration ,1,06/02/2024,non spécifié, OUAD EDDAHAB,CI,non spécifié,"Technicien spécialisé ,Service de restauration (OFPPT ) ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Bon, Anglais : Notions",non spécifié
528,Serveur, Hôtellerie et restauration ,2,06/02/2024,non spécifié, OUAD EDDAHAB,CI,non spécifié,"Diplôme de qualification professionnelle ,Agent de restauration (OFPPT ) ",non spécifié,"Arabe : Langue maternelle, Francais : Bon, Anglais : Notions",non spécifié
529,Ouvrier d'abattoir, Autres ,30,06/02/2024,19/02/2024, SETTAT ,CI,Ouvriers qualifies d'abattoir,Certificat de spécialisation professionnelle,non spécifié,non spécifié,non spécifié
530,"Opérateur sur machine de finition, contrôle et conditionnement des autres industries de process", Industrie automobile ,300,06/02/2024,04/03/2024, EL JADIDA ,CI,non spécifié,"Baccalauréat ,Sc expérimentales ",(moins de 6 mois),non spécifié,non spécifié
531,Electromécanicien en appareillage basse et moyenne tension, Autres ,1,06/02/2024,non spécifié, KENITRA ,CI,non spécifié,"Technicien spécialisé ,Electromécanique des systèmes automatisés (OFPPT ) ",non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
532,Eléctronicien de maintenance, Autres ,1,06/02/2024,non spécifié, KENITRA ,CI,non spécifié,"Technicien spécialisé ,Charge (e) de la maintenance des systèmes automatises ",non spécifié,"Francais : Bon, Arabe : Langue maternelle",non spécifié
533,Responsable administratif et financier, Services fournis principalement aux entreprises ,1,06/02/2024,14/02/2024, AGADIR,CDD,non spécifié,"Technicien ,Comptabilité et Gestion ",(6 mois - 1 an),Francais : Bon,non spécifié
534,Vendeur/Vendeuse, Commerce de détail et réparation d'articles domestiques ,2,05/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,Baccalauréat,non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
535,Secrétaire de direction," Agriculture, chasse ",1,05/02/2024,19/02/2024, BOULEMANE ,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Arabe : Bon",non spécifié
536,Opérateur de laboratoire (chimie-énergie), Industrie chimique ,5,05/02/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDD,non spécifié,"Diplôme du 2ème cycle universitaire ,Chimie ",(6 mois - 1 an),"Arabe : Bon, Francais : Bon",non spécifié
537,Aide soignant, Activités associatives ,5,05/02/2024,non spécifié, MEDIOUNA,CDD,non spécifié,"Technicien spécialisé ,Infirmier auxiliaire ",(1 an - 2 ans),Arabe : Bon,non spécifié
538,Aide soignant, Activités associatives ,4,05/02/2024,15/02/2024, MEDIOUNA,CDD,non spécifié,"Technicien spécialisé ,Infirmier polyvalent ",(6 mois - 1 an),"Arabe : Bon, Francais : Bon",non spécifié
539,Caissier," Edition, imprimerie, reproduction ",2,05/02/2024,non spécifié, OUARZAZATE ,CI,non spécifié,Baccalauréat,non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
540,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,100,05/02/2024,non spécifié, TANGER-FAHS-ANJRA,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
541,Monteur câbleur en électronique., Industrie automobile ,120,05/02/2024,non spécifié, MEKNES-EL MENZEH,CI,Niveau 5ème année lycée & CQP Niveau 6ème année lycée & CQP Niveau Bac & CQP BAC AGE : DE 18 ANS A 30 ANS SEXE : 50 % FEMININ ET 50 % MASCULIN,"Diplôme de qualification professionnelle ,Mécanique, électronique ",non spécifié,non spécifié,non spécifié
542,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,10,05/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Baccalauréat ,Lettres modernes (bilingues/arabisées) ",non spécifié,Francais : Moyen,non spécifié
543,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,20,05/02/2024,17/02/2024, SKHIRATE TEMARA ,CI,Agent de sécurite et surveillance dans un centrale d'achat ,Baccalauréat,non spécifié,non spécifié,non spécifié
544,Concepteur de site web, Autres ,1,05/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Bac + 3, bachelor ,Communication et Marketing ",(1 an - 2 ans),"Francais : Courant, Anglais : Courant",non spécifié
545,Agent d'encadrement de produit électrique ou électronique, Construction ,1,05/02/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDI,"Salaire : fourchette entre 8000 et 13 000 selon l’expérience et les compétence Missions : Analyse des besoins : - Estimer la consommation électrique de chaque élément de l’installation électrique : de chaque zone d’un bâtiment, des appareils qui les occuperont, des circuits d’acheminement. - Comprendre les besoins et les contraintes, au-delà de la puissance et de la qualité de l’installation électrique. - Étudier l’existant pour rechercher des améliorations à apporter. - Rechercher des solutions techniques pour rationaliser les coûts. - Réaliser une veille technologique sur la réglementation en vigueur et les innovations en matière de sécurité et de performance. Design de l’installation électrique : - Réaliser des schémas de principe de convertisseur ou d’installations électriques récapitulant les niveaux de puissance nécessaires (en CFO et CFA) et tenant compte de la puissance de la source et des besoins et contraintes identifiés. - Dessiner les plans d’implantation et les schémas électriques au port en utilisant le logiciel Autocad . - Définir la longueur maximale et la section minimale des câbles au regard du niveau de puissance à transporter (notes de calculs et schémas unifilaire) - Identifier le type de protection et l’indice de protection nécessaire pour chaque section de câble. - Effectuer une analyse photométrique du réseau d’éclairage public à l’aide du logiciel DIALUX; - Réaliser des études et élaboration des plans de détection incendie. Réaliser des études et élaboration des plans de Contrôle d’accès. Définition du cahier des charges : -Spécifier l’ensemble du matériel nécessaire à la création de l’installation électrique sous la forme d’une nomenclature précisant leur nature, leurs propriétés et la quantité nécessaire. - Analyser les offres des fournisseurs d’un point de vue technique et économique. - Établir des estimations en coût et délai des travaux","Ingénieur ,Système électriques et télécommunications ",(3 ans - 5 ans),"Arabe : Langue maternelle, Francais : Courant, Anglais : Moyen",non spécifié
546,Serveur, Commerce de gros et intermédiaires du commerce ,2,05/02/2024,non spécifié, CASABLANCA-ANFA,CI,- preparation des boissons chaudes - servir les clients ,"Diplôme de qualification professionnelle ,Agent de restauration ",(6 mois - 1 an),Francais : Bon,non spécifié
547,Cuisinier, Hôtellerie et restauration ,8,05/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CDD,Commis de cuisine,Technicien,(6 mois - 1 an),"Francais : Moyen, Arabe : Courant",non spécifié
548,Vendeur/Vendeuse, Services fournis principalement aux entreprises ,1,05/02/2024,non spécifié, RABAT AGDAL,CDD,Vendeuse au magasin du chocolat.,Bac + 2,(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Bon",non spécifié
549,Directeur de magasin, Services fournis principalement aux entreprises ,1,05/02/2024,non spécifié, RABAT AGDAL,CDD,Responsable de magasin de chocolat,Bac + 4,(2 ans - 3 ans),"Arabe : Langue maternelle, Francais : Courant, Anglais : Bon",non spécifié
550,Coiffeur maquilleur (spectacles), Services personnels ,2,05/02/2024,non spécifié, RABAT IRFANE,CDD,Prestations de coiffure et esthétique,"Diplôme de qualification professionnelle ,Coiffeur visagiste ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
551,Aide comptable, Activités associatives ,2,04/02/2024,12/02/2024, EL JADIDA ,Choix Multiple,non spécifié,"Bac + 3, bachelor",(3 ans - 5 ans),"Anglais : Bon, Francais : Bon",non spécifié
552,Infirmier de service spécialisé, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
553,Cadre dirigeant d'établissement public, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,"Bac + 3, bachelor",non spécifié,"Arabe : Bon, Francais : Bon, Anglais : Bon",non spécifié
554,Médecin spécialiste, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,offreanapec2021@gmail.com,non spécifié,non spécifié,"Anglais : Bon, Francais : Bon",non spécifié
555,Responsable comptabilité, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,Bac + 2,non spécifié,"Arabe : Bon, Francais : Bon, Anglais : Bon",non spécifié
556,Médecin spécialiste, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
557,Assistant (e) social (e), Activités associatives ,2,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,Bac + 2,non spécifié,non spécifié,non spécifié
558,Entraîneur sportif, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,offreanapec2021@gmail.com,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
559,Orthoptiste, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,"• Diplôme médical (Bac + 2 ou plus ), dans ce domaine ou similaire.",non spécifié,non spécifié,"Arabe : Bon, Francais : Bon, Anglais : Bon",non spécifié
560,Assistant (e) social (e), Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
561,Assistant (e) social (e), Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",non spécifié
562,Masseur kinésithérapeute, Activités associatives ,1,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,non spécifié,non spécifié,"Arabe : Bon, Francais : Bon, Anglais : Bon",non spécifié
563,Employé polyvalent de restauration , Activités associatives ,2,03/02/2024,non spécifié, CASA-MOULAY RACHID,CDD,non spécifié,Certificat de spécialisation professionnelle,non spécifié,"Arabe : Bon, Francais : Bon, Anglais : Bon",non spécifié
564,Mécanicien d'entretien sur machines industrielles, Métallurgie ,1,03/02/2024,01/03/2024, EL JADIDA ,CI,"Profil demandé: Graisseur qui veille à ce que les machines industrielles soient lubrifiées, Ce métier acquiert une connaissance dans l’utilisation de graissage pour graisser les machines et éventuellement des travaux d’entretien. Diplôme requis : CQP EN MECANIQUE / Certificat de Qualification Professionnelle (CQP) minimum","Certificat de spécialisation professionnelle ,Aide mécanicien en maintenance du matériel agricole ",(moins de 6 mois),non spécifié,non spécifié
565,Vendeur/Vendeuse, Autres ,1,02/02/2024,non spécifié, BEN SLIMANE ,CI,non spécifié,"Baccalauréat ,Sc expérimentales ",non spécifié,non spécifié,non spécifié
566,Secrétaire bureautique polyvalent, Commerce de gros et intermédiaires du commerce ,1,02/02/2024,non spécifié, CASA-AL FIDA DERB SULTAN ,CDD,non spécifié,"Technicien spécialisé ,Secrétariat de direction ",non spécifié,Francais : Bon,non spécifié
567,Monteur câbleur en électronique., Fabrication de machines et appareils électriques ,150,02/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
568,Enseignant des écoles, Education ,10,02/02/2024,non spécifié, MEKNES-EL MENZEH,CDD,non spécifié,Diplôme du 1er cycle universitaire,non spécifié,"Francais : Courant, Anglais : Bon",non spécifié
569,Forgeron., Services fournis principalement aux entreprises ,20,02/02/2024,01/03/2024, SKHIRATE TEMARA ,CDD,non spécifié,"Formation qualifiante ,Ferronnerie soudure ",non spécifié,non spécifié,non spécifié
570,Attaché commercial auprès des entreprises et / ou des collectivités, Services fournis principalement aux entreprises ,10,02/02/2024,non spécifié, EL JADIDA ,CDI,non spécifié,Bac + 2,(moins de 6 mois),"Francais : Bon, Anglais : Moyen",non spécifié
571,Charpentier en structures métalliques, Services fournis principalement aux entreprises ,10,02/02/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDD,Chaudronniers expérimentés,Diplôme de qualification professionnelle,(1 an - 2 ans),"Arabe : Bon, Francais : Moyen",non spécifié
572,Soudeur, Services fournis principalement aux entreprises ,10,02/02/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDD,Soudeurs TIG expérimentés,Diplôme de qualification professionnelle,(1 an - 2 ans),"Arabe : Bon, Francais : Moyen",non spécifié
573,Tuyauteur industriel, Services fournis principalement aux entreprises ,10,02/02/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDD,non spécifié,Diplôme de qualification professionnelle,(1 an - 2 ans),"Arabe : Bon, Francais : Moyen",non spécifié
574,Responsable administratif et financier, Services fournis principalement aux entreprises ,2,02/02/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,"Bac + 3, bachelor",(1 an - 2 ans),"Francais : Courant, Arabe : Bon, Anglais : Moyen",non spécifié
575,Monteur câbleur en construction électrique, Fabrication de machines et appareils électriques ,1,02/02/2024,11/03/2024, MEDIOUNA,CI,***,Technicien spécialisé,non spécifié,non spécifié,non spécifié
576,Employé polyvalent de restauration , Hôtellerie et restauration ,10,02/02/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CI,"HORAIRE SPECIAL : 3H DE NUIT, 8 H DE TRAVAIL +REMUNERATION DES HEURES SUPLEMENTAIRES. ",Baccalauréat,non spécifié,"Francais : Bon, Anglais : Bon",BC OU PLUS AVEC UN BON NIVEAU EN ANGLAIS ET EN FRANCAIS.
577,Technicien des industries graphiques, Conseil en systèmes informatiques ,1,02/02/2024,non spécifié, CASABLANCA-ANFA,CI,"Bonne communication. - Esprit d'équipe. - Respect des engagements et des délais. - Autonomie et prise d'initiatives- Maîtrise des logiciels de design Adobe. - Bonne maîtrise et pratiques en : CSS, HTML, JavaScript, jQuery, WORDPRESS, ECommerce. - Connaissances en design et en art en général. - Anglais technique. - Compréhension des spécifications fonctionnelles. - Bonnes connaissances en UX/UI pour rendre les interfaces web accessibles. - Capacité d'analyser et de concevoir les scénarios proposés. - Maîtrise d'un outil de gestion des projets.","Bac + 3, bachelor ,Design graphique ",(1 an - 2 ans),"Francais : Bon, Anglais : Bon",non spécifié
578,Infirmier polyvalent , Santé et action sociale ,1,01/02/2024,non spécifié, EL JADIDA ,CI,non spécifié,Baccalauréat,non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
579,Tourneur, Fabrication de machines et équipements ,2,01/02/2024,20/02/2024, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien ,Fabrication mécanique ",(1 an - 2 ans),"Arabe : Bon, Francais : Moyen",non spécifié
580,Cuisinier, Autres ,2,01/02/2024,non spécifié, CASA-AL FIDA DERB SULTAN ,CI,non spécifié,"Formation qualifiante ,Cuisine ",non spécifié,"Arabe : Bon, Francais : Notions",non spécifié
581,Fraiseur, Fabrication de machines et équipements ,2,01/02/2024,05/02/2024, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien ,Fabrication mécanique ",(1 an - 2 ans),"Arabe : Bon, Francais : Moyen",non spécifié
582,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,20,01/02/2024,non spécifié, OUARZAZATE ,CDD,non spécifié,Diplôme de qualification professionnelle,(moins de 6 mois),non spécifié,non spécifié
583,Boulanger, Hôtellerie et restauration ,2,01/02/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CI,Boulanger pâtissier ,Diplôme de qualification professionnelle,(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
584,Responsable restauration/gérant, Hôtellerie et restauration ,1,01/02/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,Gérant de restaurant pâtisserie boulangerie ,Bac + 2,(1 an - 2 ans),"Arabe : Bon, Francais : Bon",non spécifié
585,, Autres ,1,01/02/2024,non spécifié,non spécifié,non spécifié,"- Conception et de la planification de projets de construction, tels que des routes, des ponts, des bâtiments, des barrages, des aéroports, etc. Ils doivent s'assurer que les projets respectent les normes de sécurité, de durabilité et de conformité réglementaire. - La gestion complète d'un projet, de la budgétisation à la planification des ressources en passant par la gestion des équipes et des sous-traitants. Ils doivent veiller à ce que le projet soit achevé à temps et dans les limites budgétaires. - Effectuer des analyses et des évaluations techniques pour résoudre des problèmes complexes liés à la construction et à l'ingénierie. Cela peut inclure des études de faisabilité, des analyses de coûts, des études de terrain, etc.",non spécifié,non spécifié,non spécifié,non spécifié
586,, Autres ,1,01/02/2024,non spécifié,non spécifié,non spécifié,"- Une solide formation en sciences agricoles, comprenant la production végétale, animale et la gestion des sols. Ils comprennent les processus de croissance des cultures, l'élevage, la fertilisation et la gestion des ravageurs. - La gestion durable des ressources naturelles telles que les sols, l'eau et la biodiversité. Ils cherchent à maximiser la productivité agricole tout en préservant l'environnement. - Planifient la mise en place de cultures, d'élevages et de systèmes agricoles. Ils tiennent compte des conditions climatiques, des sols, de la disponibilité en eau et des ressources humaines pour optimiser les rendements.",non spécifié,non spécifié,non spécifié,non spécifié
587,Magasinier d'entrepôt, Commerce de gros et intermédiaires du commerce ,1,01/02/2024,non spécifié, OUAD EDDAHAB,CI,non spécifié,non spécifié,non spécifié,Francais : Moyen,BAC ET PLUS
588,Operateur de production de l’industrie automobile, Construction ,20,01/02/2024,06/03/2024, MEDIOUNA,CI,Aide d'atelier d'usinage. Aide d'atelier de fabrications métalliques. Ajusteur de matrices. Armurier. Assembleur de matériel électromécanique. Conducteur de machines industrielles.,"Technicien spécialisé ,Méthodes en fabrication Mécanique ",non spécifié,non spécifié,non spécifié
589,Agent déclarant en douane, Services auxiliaires des transports ,2,01/02/2024,non spécifié, CASA-ANFA SUPERIEUR,CI,- Realiser le suivi des operations de transit ,"Bac + 5, master privé, MBA ,Gestion logistique & transport ",(1 an - 2 ans),"Francais : Courant, Anglais : Courant",non spécifié
590,Développeur, Conseil en systèmes informatiques ,5,01/02/2024,15/02/2024, JERADA ,CI,non spécifié,"Bac + 5, master privé, MBA ,Informatique et développement et réseaux ",(6 mois - 1 an),"Francais : Courant, Anglais : Bon",DEVELOPPEMENT INFORMATIQUE / CONNAISSANCE DE LA PROGRAMMATION WEB / MAITRISE D'UN LANGAGE DE PROGRAMMATION
591,Développeur, Conseil en systèmes informatiques ,5,01/02/2024,15/02/2024, JERADA ,CI,non spécifié,"Ingénieur ,Réseau Informatiques et systèmes d'information ",non spécifié,"Francais : Courant, Anglais : Bon",DEVELOPPEMENT INFORMATIQUE / CONNAISSANCE DE LA PROGRAMMATION WEB / MAITRISE D'UN LANGAGE DE PROGRAMMATION
592,Agent d'accueil, Autres ,20,01/02/2024,non spécifié, FES,CDD,non spécifié,Baccalauréat,non spécifié,non spécifié,non spécifié
593,Développeur, Conseil en systèmes informatiques ,5,01/02/2024,15/02/2024, JERADA ,CI,non spécifié,"Bac + 3, bachelor ,Sciences Informatique ",non spécifié,"Anglais : Bon, Francais : Courant",DEVELOPPEMENT INFORMATIQUE / CONNAISSANCE DE LA PROGRAMMATION WEB / MAITRISE D'UN LANGAGE DE PROGRAMMATION
594,Développeur, Conseil en systèmes informatiques ,5,01/02/2024,15/02/2024, JERADA ,CI,non spécifié,"Bac + 2 ,Développement Informatique ",non spécifié,"Francais : Courant, Anglais : Bon",DEVELOPPEMENT INFORMATIQUE / CONNAISSANCE DE LA PROGRAMMATION WEB / MAITRISE D'UN LANGAGE DE PROGRAMMATION 
595,Intervenant social, Santé et action sociale ,5,01/02/2024,26/02/2024, MEDIOUNA,CI,Aide et accompagner les bénéficiaires dans réalisation des actes de vie quotidienne....,"Baccalauréat ,Bac marocain ou bac élémentaire ",non spécifié,Arabe : Langue maternelle,non spécifié
596,Mécanicien réparateur de machines agricoles," Agriculture, chasse ",2,01/02/2024,non spécifié, LARACHE ,CDD,non spécifié,"Technicien spécialisé ,Réparation des engins à moteur (option: machinisme agricole) ",non spécifié,"Francais : Bon, Arabe : Langue maternelle",non spécifié
