,Societés,Postes,Adresses,Details de poste,Date de publication,Location,Postes proposés,Secteur d'activité,Fonctions,Expérience requise,Niveau d’étude demandé,Type de contrat proposé,Profil recherché,Decsription d'entreprise,Traits de personnalité
91,non spécifié,Business Development Manager Africa (H/F) ,,"Poste avec Management
Publiée aujourd'hui sur ReKrute.com - Postulez avant le 22/02/2024
J'aime
Entreprise :
You’re joining the world leader in healthy, safe,sustainable and intelligent building and cold chain solutions.
Poste :
As part of our expansion, we are recruiting a Business Development Manager (H/F) that will :
Lead business over Distributors selling products and services and ensure ETT Solution Provider Strategy alignment toward existing and new distributors ;
Lead Distributors and key account relation ;
Monitoring business performances, achieve plan, capturing business opportunities ;
Deploy proper product training, enhance coaching activity ;
Participate actively to the footprint expansion in new countries, support the cold chain development, reducing food losses supporting company goals ;
Be the ambassador of the comany, deploying company Values, ensure ethical & compliant business.",Publication : du 19/02/2024 au 22/02/2024 , Casablanca (Maroc), 1, Distribution - Energie," Distribution (métiers de la) , Logistique / Transport (métiers de)", De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
You’re joining the world leader in healthy, safe,sustainable and intelligent building and cold chain solutions.",Organisation Implication au travail Besoin d'action Rationalisme Volonté de persuasion Extraversion Respect des règles Recherche de nouveauté
92,MAROC,Infrastructure Engineer – Fluent English (M/F) ,"Immeuble LA COMANAV, 7 Boulevard la résistance","Poste :
As part of our expansion, we are recruiting an Infrastructure Engineer (M/F) for our partener Aritech to ensure the design and maintenance of ithe  core infrastructure.
Join the dynamic engineering team and play a pivotal role in shaping the cloud-based services. Your expertise will be essential in building and securing the infrastructure of the company for the future.
Responsibilities:
  Design, deploy, and maintain infrastructure solutions to support our business operations and applications.
Collaborate with the development and operations teams to ensure efficient and reliable deployment of applications and services.
Manage and monitor AWS resources, including ELB, ALB, S3, EC2, Route53, VPC, and AWS VPN.
Implement and maintain configuration management tools such as Saltstack.
Configure and optimize NGINX for high-performance web applications.
Maintain and support APNs (Apple Push Notification services) and FCM (Firebase Cloud Messaging) services.
Administer and manage databases, including PostgreSQL, pgpool, Redis, and Redis cluster.
Implement and maintain monitoring and logging tools such as Zabbix, ELK (Elasticsearch, Logstash, Kibana), Grafana, and Syslog.
Manage network connectivity with IPSec and OpenVPN.",Publication : du 19/02/2024 au 13/04/2024 , Casablanca (Maroc), 1, Informatique, Informatique / Electronique, De 3 à 5 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
C’est en 1902 que le Dr Willis H. Carrier invente et fabrique le tout premier climatiseur moderne au monde. Depuis cette date, Carrier Corporation est le numéro un mondial de la climatisation, avec plus de 4 millions d’unités vendues par an, assemblées dans plus de 40 usines de production, installées et entretenues sur cinq continents.
Créée en 2014, MCS est le fruit d’une joint-venture signée entre VENTEC Maroc et Carrier, numéro 1 mondial dans le domaine du froid. MCS assure le support technique, commercial et administratif à distance pour le compte de Carrier France, Carrier Espagne, Otis France, Chubb France, CIAT, Carrier Transicold, Carrier Réfrigération et d’autres sociétés du groupe. MCS permet d’assurer avec efficience et efficacité le traitement des demandes particulières et des consultations, la saisie des commandes, la gestion des réclamations ainsi que la planification des interventions et le support technique à distance.
Vous souhaitez révéler votre potentiel dans un environnement challengeant et collaboratif ?
Vous souhaitez évoluer dans une structure soucieuse de l’épanouissement et de la satisfaction de ses moyens humains ?
A vous de saisir l’opportunité et de concrétiser vos idées au cœur de nos projets ambitieux, en nous envoyant votre candidature.",Implication au travail Besoin d'autonomie Besoin de réflexion Ambition Recherche de nouveauté
93,ECA,Développeur AS400 / RPG ,"138, bd d'Anfa, 4°étage","Poste :
En tanque Développeur AS400 / RPG, vous aurez les missions suivantes : 
Analyser les besoins ;
Automatiser les méthodes de travail ;
Développer les applications en FREE RPG, RPG III, RPGILE, RPGLE ;
Maintenir les applications en RPG 3, RPG 4 ;
Assurer le soutien technique des utilisateurs ;
Assurer une veille technologique ;
Rédiger des documentations informatiques ;
Participer à la conduite du changement.",Publication : du 19/02/2024 au 19/04/2024 , Casablanca (Maroc), 1, Informatique - Internet / Multimédia," Informatique / Electronique , Multimédia / Internet", De 1 à 3 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Succursale du groupe Finaré, ECA-Assurances est une société de courtage d'assurances leader de la gestion et la distribution de produits d'assurances sur Internet.
Depuis  sa création en 1995 et son implantation au Maroc en 2003,  ECA Assurances se positionne comme l’un des acteurs de référence en Assurance française.
Présente dans 4 pays, ECA Assurances est entreprise ambitieuse et en plein développement avec 4 pôles d'expertise : 
L'assurance 
La gestion relation client
La gestion du patrimoine 
La stratégie digitale",Implication au travail Besoin de réflexion Ambition Travail en équipe Recherche de nouveauté
94,GROUPE,"Manager De Rayon DPH (Droguerie, parfumerie et hygiène) ",Route nationale 1km 3.5 douar Oulad Othman- SKHIRAT,"Poste avec Management
Publiée aujourd'hui sur ReKrute.com - Postulez avant le 19/04/2024
J'aime Suivre
Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.
Poste :
Vos missions sont :

- Animer et gérer une force de vente,
- Assurer le développement du chiffre d’affaire et de la marge,
- Assurer le suivi des gammes de produits et leur implantation dans le rayon,
- Gérer les stocks et les approvisionnements en anticipant les besoins du client,
- Mettre en place les actions commerciales pour stimuler les ventes,
- Appliquer et faire respecter les règles d’hygiène et de sécurité alimentaire#^",Publication : du 19/02/2024 au 19/04/2024 , Témara (Maroc), 1, Distribution," Commercial / Vente / Export , Distribution (métiers de la)", De 1 à 3 ans, Bac +2, CDI - Télétravail ,non spécifié,"Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.",Recherche de nouveauté Ambition Intuition / Spontanéité Extraversion Volonté de persuasion
95,GROUPE,"Manager De Rayon DPH (Droguerie, parfumerie et hygiène) ",Route nationale 1km 3.5 douar Oulad Othman- SKHIRAT,"Poste avec Management
Publiée aujourd'hui sur ReKrute.com - Postulez avant le 19/04/2024
J'aime Suivre
Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.
Poste :
Vos missions sont :

- Animer et gérer une force de vente,
- Assurer le développement du chiffre d’affaire et de la marge,
- Assurer le suivi des gammes de produits et leur implantation dans le rayon,
- Gérer les stocks et les approvisionnements en anticipant les besoins du client,
- Mettre en place les actions commerciales pour stimuler les ventes,
- Appliquer et faire respecter les règles d’hygiène et de sécurité alimentaire#^",Publication : du 19/02/2024 au 19/04/2024 , Casablanca (Maroc), 1, Distribution," Commercial / Vente / Export , Distribution (métiers de la)", De 1 à 3 ans, Bac +2, CDI - Télétravail ,non spécifié,"Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.",Recherche de nouveauté Ambition Intuition / Spontanéité Extraversion Volonté de persuasion
96,GROUPE,Manager de Rayon Boucherie - Expérience Exigée en Boucherie ,Route nationale 1km 3.5 douar Oulad Othman- SKHIRAT,"Poste avec Management
Publiée aujourd'hui sur ReKrute.com - Postulez avant le 19/04/2024
J'aime Suivre
Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.
Poste :
Assurer une bonne gestion du rayon,
Atteindre les objectifs, marges, stocks, productivité, casse et taux de ruptures,
Établir les plannings hebdomadaires,
Organiser le travail de votre équipe et assurer son accompagnement,
Respecter la politique commerciale du groupe / fidéliser la clientèle,
Contrôler le respect des normes d'hygiène et de sécurité,
Passer les commandes, les réceptionner et gérer le stock.",Publication : du 19/02/2024 au 19/04/2024 , Casablanca (Maroc), 1, Distribution," Distribution (métiers de la) , Hôtellerie / Restauration (métiers de)", De 3 à 5 ans, Bac +2, CDI - Télétravail ,non spécifié,"Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.",Organisation Respect des règles Implication au travail Recherche de nouveauté Flexibilité Extraversion Sensibilité émotionnelle
97,GROUPE,Manager de Rayon Boucherie - Expérience Exigée en Boucherie ,Route nationale 1km 3.5 douar Oulad Othman- SKHIRAT,"Poste avec Management
Publiée aujourd'hui sur ReKrute.com - Postulez avant le 19/04/2024
J'aime Suivre
Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.
Poste :
Assurer une bonne gestion du rayon,
Atteindre les objectifs, marges, stocks, productivité, casse et taux de ruptures,
Établir les plannings hebdomadaires,
Organiser le travail de votre équipe et assurer son accompagnement,
Respecter la politique commerciale du groupe / fidéliser la clientèle,
Contrôler le respect des normes d'hygiène et de sécurité,
Passer les commandes, les réceptionner et gérer le stock.",Publication : du 19/02/2024 au 19/04/2024 , Marrakech (Maroc), 1, Distribution," Distribution (métiers de la) , Hôtellerie / Restauration (métiers de)", De 3 à 5 ans, Bac +2, CDI - Télétravail ,non spécifié,"Entreprise :
Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.
En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.
Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses 136 magasins répartis dans 28 villes du royaume et ses 3 plateformes logistiques et un chiffre d’affaires réalisé de 11,7 milliards de dirhams en 2021.
En 2021, le Groupe LabelVie a entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.",Organisation Respect des règles Implication au travail Recherche de nouveauté Flexibilité Extraversion Sensibilité émotionnelle
98,INTELCIA,COORDINATEUR COMPTABILITE ,"nearshore Park 1100, Boulevard Al Qods","Poste :
Mission
Le Coordinateur Comptabilité travaille aux côtés du Responsable Comptable sur toutes les activités liées à la comptabilité, la fiscalité, la trésorerie et au contrôle interne effectuées localement ou par des équipes partenaires. Il réalise et contrôle la procédure comptable et budgétaire, vérifie les données comptables et réalise les documents comptables et budgétaires correspondants. Assiste et conseille les services de l’entreprise.
Coordonner avec les équipes de l’entreprise les opérations journalières ;
S’assurer de la conformité de la comptabilité avec les règles comptables et fiscales et les processus de clôture définis et partagés par la DAF ;
Assurer la cohérence et la fluidité des opérations/transactions avec les équipes finances : DAF, Contrôleurs de gestion, Direction juridique…
Réaliser des études ponctuelles et participer aux opérations juridiques ;
Effectuer l'examen des comptes et la proposition d'écritures d'ajustement ;
Assurer la communication externe avec l'administration fiscale ;
Suivre les évolutions sur les sujets Comptables et fiscaux (nouvelles lois…) ;
Appuyer le contrôle de gestion pour les dossiers avec des partenaires (joint-venture) et réconcilier de manière périodique les comptes courants ;
Contribuer aux analyses et mettre en paiement des déclarations de taxes ;
Tenir à jour les dossiers permanent ;
Identifier, mettre en place et coordonner et suivre les process ;
Participer à des projets divers de développement et d'amélioration continue.
Profil Recherché
Bac +4 en Gestion/ Comptabilité/Finance
Une expérience similaire de 2 à 3 ans",Publication : du 19/02/2024 au 19/04/2024 , Casablanca (Maroc), 1, Offshoring / Nearshoring, Gestion / Comptabilité / Finance, De 3 à 5 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Acteur global de l’outsourcing, Intelcia conjugue depuis 20 ans talents, technologies et processus pour offrir un service sur-mesure et des compétences aux standards internationaux à ses clients à travers le monde. Le groupe propose ainsi, une offre globale et multisectorielle autour de 4 pôles de solutions : Customer Relationship Management, IT Solutions, Business Process Outsourcing et Digital Services.
Présent dans 17 pays, en Afrique, en Europe et en Amérique, le groupe compte actuellement plus 24 000 collaborateurs répartis sur 49 centres opérationnels, en propre et à travers des partenaires.
Chez intelcia, nous avons créé les conditions pour accueillir et cultiver les talents, pour qu’ils aient envie de nous rejoindre et se sentent assez bien pour rester avec nous. Pour qu’ils fassent de leur mieux tous les jours, et qu’ils fassent encore mieux dans le futur. Pour qu’ils relèvent les challenges auxquels ils doivent faire face.
Etes-vous prêts à relever de nouveaux défis et évoluer dans un environnement agile et innovant ? Si oui, votre candidature nous intéresse.",Besoin d'objectivité Organisation Rationalisme Respect des règles Conventionnel
99,INTELCIA,Chargé affaires Générales ,"nearshore Park 1100, Boulevard Al Qods","Poste :
Mission
Le Chargé des affaires générales et logistique gère pour le compte des sites et des entités support, les affaires générales tels les déplacements des collaborateurs/clients/prospects, fournitures de bureau, courses, stock consommables etc…
• Suivi des actions et élaboration des reporting et des rapports d’activité
• Suivi de la facturation et des budgets
• Suivi des provisions et consolidation des états pour des besoins de clôture comptable.
• Intérlocuteur principal vis-à-vis des achats : expressions de besoin, suivi des commandes et des livraisons
• Suivi de la flotte téléphonie mobile (abonnements, terminaux, …)
• Suivi de la flotte auto/moto (révisions systématiques, gestion sinistres, suivi réparations, suivi cartes carburant, …)
• Gestion du transport du personnel (planification navettes, suivi terrain, suivi réclamations, …)
• Gestion des contrats prestataires et suivi terrain (Hygiène, restauration, 3D, …)
  Profil Recherché
  De Formation Bac+4 ou équivalent en logistique et MG, vous justifiez d'une première expérience dans un poste similaire.
  Qualités requises :
  Disponibilité/ Capacité d’adaptation,
Vivacité d’esprit,
Avoir le sens de l'organisation et de la rigueur,
Orientation client « interne »,
Maîtriser les outils bureautiques
 Proactivité.",Publication : du 19/02/2024 au 19/04/2024 , Casablanca (Maroc), 1, Centre d'appel, Assistanat de Direction / Services Généraux, De 3 à 5 ans, Bac +4, CDI - Télétravail ,non spécifié,"Entreprise :
Acteur global de l’outsourcing, Intelcia conjugue depuis 20 ans talents, technologies et processus pour offrir un service sur-mesure et des compétences aux standards internationaux à ses clients à travers le monde. Le groupe propose ainsi, une offre globale et multisectorielle autour de 4 pôles de solutions : Customer Relationship Management, IT Solutions, Business Process Outsourcing et Digital Services.
Présent dans 17 pays, en Afrique, en Europe et en Amérique, le groupe compte actuellement plus 24 000 collaborateurs répartis sur 49 centres opérationnels, en propre et à travers des partenaires.
Chez intelcia, nous avons créé les conditions pour accueillir et cultiver les talents, pour qu’ils aient envie de nous rejoindre et se sentent assez bien pour rester avec nous. Pour qu’ils fassent de leur mieux tous les jours, et qu’ils fassent encore mieux dans le futur. Pour qu’ils relèvent les challenges auxquels ils doivent faire face.
Etes-vous prêts à relever de nouveaux défis et évoluer dans un environnement agile et innovant ? Si oui, votre candidature nous intéresse.",Flexibilité Extraversion Organisation Conventionnel
100,INTELCIA,CONSEILLER COMMERCIAL en rétention - Rabat Hassan - ,"nearshore Park 1100, Boulevard Al Qods","Poste :
En tant que Conseiller en Rétention, vous serez en charge de :
Répondre aux demandes de résiliations reçues par téléphone
Évaluer systématiquement les besoins des clients, les prendre en compte et dépasser leurs attentes.
Garantir l'atteinte des objectifs quantitatifs et qualitatifs du projet.",Publication : du 19/02/2024 au 19/04/2024 , Rabat (Maroc), 1, Centre d'appel, Call Centers (métiers de), Moins de 1 an, Bac, CDI - Télétravail ,non spécifié,"Entreprise :
Qui sommes-nous ?
Nous, c’est Intelcia.                                                   
Depuis 2000, nous aidons les entreprises à s’assurer une performance durable en leur fournissant des solutions de gestion de l’expérience client, de back-office, de conseil en processus. Nous sommes une entreprise ambitieuse, audacieuse, innovante et en forte croissance. Nous tirons notre force de nos 40.000 collaborateurs répartis dans 17 pays en Afrique, en Europe et en Amérique. Cette diversité constitue un levier essentiel de performance et d’innovation. Notre engagement à apporter de la valeur à nos clients est indissociable de celui du bien-être de nos collaborateurs.
 Notre promesse ? vous offrir un terrain de jeu sans limites pour construire une carrière épanouissante.
 ",Flexibilité Distance émotionnelle Extraversion Conventionnel
101,INTELCIA,TELEVENDEUR en assurance - Casa Intown - ,"nearshore Park 1100, Boulevard Al Qods","Poste :
En tant que commercial BToB en émission d’appels, vous serez en charge de la gestion d'un portefeuille client tout en prospectant et développant les entreprises du secteur. Rattaché au responsable de l'équipe, vos principales missions consistent à :
• Assurer la prospection et le développement commercial auprès d'une clientèle professionnelle
• Réussir à fidéliser nos clients français grâce à un accompagnement personnalisé
• Suivre des dossiers jusqu’à leur aboutissement
Avant de prendre en charge la mission, une formation complète sera assurée afin de vous préparer aux responsabilités qui vous seront confiées.",Publication : du 19/02/2024 au 19/04/2024 , Casablanca (Maroc), 1, Centre d'appel, Call Centers (métiers de), De 1 à 3 ans, Bac, CDI - Télétravail ,non spécifié,"Entreprise :
Qui sommes-nous ?
Nous, c’est Intelcia.                                                   
Depuis 2000, nous aidons les entreprises à s’assurer une performance durable en leur fournissant des solutions de gestion de l’expérience client, de back-office, de conseil en processus. Nous sommes une entreprise ambitieuse, audacieuse, innovante et en forte croissance. Nous tirons notre force de nos 40.000 collaborateurs répartis dans 17 pays en Afrique, en Europe et en Amérique. Cette diversité constitue un levier essentiel de performance et d’innovation. Notre engagement à apporter de la valeur à nos clients est indissociable de celui du bien-être de nos collaborateurs.
Notre promesse ? vous offrir un terrain de jeu sans limites pour construire une carrière épanouissante.",Flexibilité Distance émotionnelle Extraversion Conventionnel
102,UM6P,DeepTech Innovation Program Manager ,"Lot 660, Hay Moulay Rachid, Ben Guerir 43150","Poste :
Responsibilities:
•    Program Development: Create bespoke entrepreneurship programs focused on the unique needs of researchers and engineers.
•    IP Commercialization: Lead a cross-functional team to manage the transition of intellectual property from the lab to the marketplace.
•    Strategic Partnerships: Establish partnerships with corporate venture arms, institutional investors, and government bodies.
•    Metrics and KPIs: Develop and monitor key performance indicators that provide actionable insights.
•    Educational Initiatives: Create workshops, bootcamps, and seminars in collaboration with academic leaders to foster a culture of entrepreneurship within the institution.",Publication : du 19/02/2024 au 19/04/2024 , Benguerir (Maroc), 1, Enseignement / Formation, Gestion projet / Etudes / R&D, De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.",Rationalisme Besoin d'autonomie Besoin d'action Ambition Recherche de nouveauté
103,CNEXIA,Un(e) Chargé(e) pay and benefits ,"Unité B1, Parc Fès Shore, Route de Sidi Harazem (9 108,11 km)","Poste :
Piloter et mener les enquêtes de benchmark internes et externes.
Travailler sur un plan d’augmentation salariale pour garantir la compétitivité externe et interne du groupe en termes de rémunération fixe et autres avantages.
Elaborer et proposer une stratégie de gratification (Rémunérations, primes et autres avantages)
Contribuer à mettre en place un système de gratification basé sur le mérite et la récompense de la performance.
Procéder à la pesée des postes selon le degrés de responsabilité et attributs selon les descriptifs de rôles à jour.
Piloter le processus interne de révision annuelle des salaires et définition des niveaux de bonus en ligne avec les niveaux de performance attendus.",Publication : du 19/02/2024 au 19/04/2024 , Rabat (Maroc), 1, Autres Industries - Autres services, RH / Personnel / Formation, De 1 à 3 ans, Bac +4, CDI - Télétravail ,non spécifié,"Entreprise :
Rejoignez Cnexia et faites le choix de faire partie d’un projet qui valorise l’innovation, promeut le développement continu des compétences et donne l’opportunité aux personnes créatives et ambitieuses du domaine des hautes technologies de réaliser leurs objectifs professionnels.
Fiers de notre statut de filiale Marocaine exclusive de l’opérateur télécom historique du Canada, nous n’avons cessé d’élargir nos équipes depuis 2021 avec plus de 1300 employés principalement basés à Fès. Nous venons d’étendre nos activités dans la partie nord du royaume en inaugurant un nouveau site à Rabat afin d’y poursuivre notre croissance avec comme objectif de plus que doubler nos effectifs à l’horizon 2024.
A Cnexia nous faisons plus que supporter les clients de notre réseau à taille mondiale et les bénéficiaires de nos divers services. Nous développons des solutions innovantes et créons continuellement du contenu média multiplateforme originale. Grâce à cela, nous révolutionnons tous les jours la façon avec laquelle les Canadiens communiquent à travers le web et interagissent via des applications mobiles en les faisant bénéficier d’une expérience améliorée.
Si vous êtes prêts à relever ce défi, nous vous invitons à rejoindre une communauté qui valorise les idées audacieuses et vous donne de multiples opportunités d’accomplissement de carrière dans un environnement multi culturel de classe mondiale !",Recherche de nouveauté Extraversion Besoin d'objectivité Besoin d'autonomie Implication au travail
